TITLE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TMIN,1991,12,4,1,0,0,0,0,0,0,0,4,6,27
PRCP,1992,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1992,1,0,0,0,0,0,0,0,0,0,0,1,2
TMIN,1992,8,2,0,0,0,0,0,0,0,0,6,8,24
PRCP,1993,0,0,0,30,0,0,0,0,0,0,0,0,30
TMAX,1993,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1993,2,3,3,0,0,0,0,0,0,1,3,5,17
PRCP,1994,0,28,0,0,0,0,0,3,30,31,30,31,153
TMAX,1994,0,0,0,1,0,0,0,4,30,31,30,31,127
TMIN,1994,13,3,0,0,0,0,0,3,30,31,30,31,141
PRCP,1995,31,28,31,30,11,0,0,0,0,0,0,0,131
TMAX,1995,31,28,31,30,11,0,0,0,0,0,1,0,132
TMIN,1995,31,28,31,30,12,0,0,0,0,0,0,4,136
PRCP,1996,0,29,31,0,31,0,0,0,0,0,0,31,122
TMAX,1996,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1996,13,0,2,0,0,0,0,0,0,0,3,10,28
PRCP,1997,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1997,0,0,0,0,0,0,1,0,0,0,0,0,1
TMIN,1997,8,2,1,0,0,0,0,1,0,0,1,16,29
PRCP,1998,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1998,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1998,12,8,3,0,0,0,0,0,0,0,0,6,29
PRCP,1999,0,0,0,0,0,0,0,0,0,0,0,0,0
TMAX,1999,0,0,0,0,0,0,0,0,0,0,0,0,0
TMIN,1999,12,1,0,0,0,0,0,0,0,0,5,14,32
