"cuenca" "mes" "S" "tau" "var" "pvalue"
1 1 430 0.365646213293076 13458.6669921875 0.000217437744140625
1 2 472 0.401360511779785 13458.6669921875 4.91142272949219e-05
1 3 298 0.253401339054108 13458.6669921875 0.0104644298553467
2 6 -192 -0.163265287876129 13458.6669921875 0.0996837988495827
2 7 -218 -0.18537412583828 13458.6669921875 0.0614138245582581
2 8 -296 -0.251700639724731 13458.6669921875 0.0109951961785555
2 9 -428 -0.363945543766022 13458.6669921875 0.000232622143812478
2 10 -356 -0.302721053361893 13458.6669921875 0.00221306388266385
2 11 -202 -0.171768695116043 13458.6669921875 0.083169125020504
