"cuenca" "mes" "S" "tau" "var" "pvalue"
1 1 -48 -0.0408163219690323 13458.6669921875 0.685380280017853
1 2 48 0.0408163219690323 13458.6669921875 0.685380220413208
1 3 64 0.0544217638671398 13458.6669921875 0.587095618247986
1 4 -72 -0.0612244829535484 13458.6669921875 0.540532231330872
1 5 62 0.0527210831642151 13458.6669921875 0.59902024269104
1 6 104 0.0884353667497635 13458.6669921875 0.374625205993652
1 7 200 0.170068010687828 13458.6669921875 0.0862815380096436
1 8 116 0.0986394435167313 13458.6669921875 0.321548342704773
1 9 -82 -0.0697278827428818 13458.6669921875 0.485047936439514
1 10 116 0.0986394435167313 13458.6669921875 0.321548342704773
1 11 -8 -0.00680272048339248 13458.6669921875 0.951885759830475
1 12 -88 -0.0748299211263657 13458.6669921875 0.453299462795258
2 1 -208 -0.176870733499527 13458.6669921875 0.0743739679455757
2 2 -36 -0.0306122414767742 13458.6669921875 0.76288515329361
2 3 -2 -0.00170068012084812 13458.6669921875 0.993122458457947
2 4 -112 -0.0952380821108818 13458.6669921875 0.338667333126068
2 5 104 0.0884353667497635 13458.6669921875 0.374625205993652
2 6 70 0.0595238022506237 13458.6669921875 0.551998138427734
2 7 -142 -0.120748288929462 13458.6669921875 0.224214792251587
2 8 34 0.0289115607738495 13458.6669921875 0.77606201171875
2 9 -38 -0.0323129221796989 13458.6669921875 0.749776601791382
2 10 -80 -0.0680272057652473 13458.6669921875 0.495892345905304
2 11 -6 -0.00510204024612904 13458.6669921875 0.96562248468399
2 12 -170 -0.144557803869247 13458.6669921875 0.145184800028801
