"cuenca" "mes" "S" "tau" "var" "pvalue"
1 1 430 0.365646213293076 13458.6669921875 0.000217437744140625
1 2 472 0.401360511779785 13458.6669921875 4.91142272949219e-05
1 3 298 0.253401339054108 13458.6669921875 0.0104644298553467
1 4 30 0.0255102012306452 13458.6669921875 0.802606582641602
1 5 104 0.0884353667497635 13458.6669921875 0.374625205993652
1 6 72 0.0612244829535484 13458.6669921875 0.540532231330872
1 7 -182 -0.154761895537376 13458.6669921875 0.118714936077595
1 8 -68 -0.057823121547699 13458.6669921875 0.563582181930542
1 9 -102 -0.0867346823215485 13458.6669921875 0.383970737457275
1 10 66 0.0561224445700645 13458.6669921875 0.575282096862793
1 11 168 0.142857134342194 13458.6669921875 0.150005340576172
1 12 188 0.15986393392086 13458.6669921875 0.106981754302979
2 1 -4 -0.00340136024169624 13458.6669921875 0.979369401931763
2 2 118 0.100340127944946 13458.6669921875 0.313204526901245
2 3 -162 -0.137755081057549 13458.6669921875 0.165199920535088
2 4 -172 -0.146258488297462 13458.6669921875 0.140483766794205
2 5 -168 -0.142857134342194 13458.6669921875 0.150005385279655
2 6 -192 -0.163265287876129 13458.6669921875 0.0996837988495827
2 7 -218 -0.18537412583828 13458.6669921875 0.0614138245582581
2 8 -296 -0.251700639724731 13458.6669921875 0.0109951961785555
2 9 -428 -0.363945543766022 13458.6669921875 0.000232622143812478
2 10 -356 -0.302721053361893 13458.6669921875 0.00221306388266385
2 11 -202 -0.171768695116043 13458.6669921875 0.083169125020504
2 12 -126 -0.107142843306065 13458.6669921875 0.281266152858734
