year, month, day, prcp, tmax, tmin, tmax-tmin
1923, 11, 5, 12, 7, 7, 0
1951, 2, 14, 0, 2, 2, 0
1953, 10, 4, 1, 15, 15, 0
1959, 3, 12, 0, 11, 11, 0
1959, 3, 16, 0, 5, 5, 0
1959, 11, 16, 0, 10, 10, 0
1959, 12, 4, 0, 10, 10, 0
1960, 1, 12, 2.5, 7, 7, 0
1960, 1, 13, 0, 9, 9, 0
1960, 1, 17, 0, 4, 4, 0
1960, 1, 18, 0, 4, 4, 0
1960, 4, 2, 0, 9, 9, 0
