year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1951,7,16,19.79,34,48.84,10.15,10,29.71,-1.46,24,30.23
1951,7,18,21.91,42,48.09,9.47,11,30.02,-0.39,31,30.9
1951,7,20,21.06,43,47.85,10.57,14,29.82,-0.05,29,28.56
1951,7,23,23.74,37,44.8,9.2,10,29.17,3.33,27,26.83
1957,5,6,16.21,16,48.35,2.47,9,25.83,0.75,7,35.51
1959,4,12,10.75,10,48.18,-4.7,8,25.74,-0.7,2,38.59
1961,6,14,23.46,23,49.91,9,18.5,29.18,1.6,4.5,33.59
1961,6,16,20.23,20,53.41,8.45,16,31.35,-0.57,4,34.41
1970,9,27,10.43,10,49.63,3.95,9,26.25,-4.16,1,34.03
1972,5,31,22.74,22.5,47.6,6.36,12,28.82,4.53,10.5,30.63
1991,9,20,14.84,14,48.49,5.65,10,27.29,-2.42,4,32.81
