year, month, day, prcp, tmax, tmin, tmax-tmin
1995, 2, 7, 0, 9, 9, 0
1995, 3, 7, 0, 6, 6, 0
1995, 9, 14, 0, 11, 11, 0
1996, 8, 28, 3, 11, 11, 0
