year, month, day, prcp, tmax, tmin, tmax-tmin
1991, 9, 19, 5.5, 13, 13, 0
1991, 11, 12, 5.5, 8, 8, 0
1997, 12, 26, 0, 1.5, 1.5, 0
2000, 10, 8, 0, 7, 7, 0
