year, month, day, prcp, tmax, tmin, tmax-tmin
1951, 12, 2, 0, 17.2, 17.2, 0
1957, 11, 22, 2, 5, 5, 0
1958, 1, 5, 13.5, 6, 6, 0
1966, 2, 22, 0, 4, 4, 0
1966, 10, 5, 10, 16, 16, 0
