year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1997,9,2,17.68,27,45.5,0.16,-1,31.47,-1.46,28,33.01
1997,9,3,13.87,25,47.69,2.04,2,30.1,-4.79,23,34.2
1997,9,4,10.94,23,50.03,2.23,2,28.88,-5.32,21,35.17
1997,9,5,7.7,27,53.19,-2.89,-3,33.93,-10.43,30,40.29
