year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1979,6,10,20.55,19.1,49.2,6.49,19,30.51,-1.42,0.1,34.18
1983,4,7,7.88,6,46.88,-5.05,0,23.87,1.17,6,34.77
2011,2,3,-7.08,-7.5,42.97,-18.75,-11.6,23.46,-4.78,4.1,35.95
