FID,ET_ID,Lat,Lon
0,0,18.649200000000000,-92.469999999999999
1,0,18.649100000000001,-92.469300000000004
2,0,18.648800000000001,-92.468500000000006
3,0,18.648299999999999,-92.468100000000007
4,0,18.647700000000000,-92.468000000000004
5,0,18.647200000000002,-92.468000000000004
6,0,18.646500000000000,-92.468100000000007
7,0,18.645900000000001,-92.468400000000003
8,0,18.646300000000000,-92.468900000000005
9,0,18.646899999999999,-92.469300000000004
10,0,18.646100000000001,-92.469700000000003
11,0,18.645399999999999,-92.469800000000006
12,0,18.644600000000001,-92.469600000000000
13,0,18.644100000000002,-92.469399999999993
14,0,18.643599999999999,-92.468999999999994
15,0,18.643200000000000,-92.468599999999995
16,0,18.642600000000002,-92.468299999999999
17,0,18.642099999999999,-92.468100000000007
18,0,18.641600000000000,-92.467900000000000
19,0,18.640999999999998,-92.467699999999994
20,0,18.640400000000000,-92.467600000000004
21,0,18.639900000000001,-92.467399999999998
22,0,18.639399999999998,-92.467299999999994
23,0,18.639299999999999,-92.467299999999994
24,0,18.638800000000000,-92.467200000000005
25,0,18.638200000000001,-92.466999999999999
26,0,18.637599999999999,-92.466899999999995
27,0,18.637100000000000,-92.466800000000006
28,0,18.636500000000002,-92.466700000000003
29,0,18.635999999999999,-92.466499999999996
30,0,18.635400000000001,-92.466399999999993
31,0,18.634300000000000,-92.466200000000001
32,0,18.633600000000001,-92.465999999999994
33,0,18.632899999999999,-92.465900000000005
34,0,18.632200000000001,-92.465800000000002
35,0,18.631599999999999,-92.465800000000002
36,0,18.631000000000000,-92.465900000000005
37,0,18.630400000000002,-92.466099999999997
38,0,18.629899999999999,-92.466399999999993
39,0,18.629300000000001,-92.466600000000000
40,0,18.628799999999998,-92.466899999999995
41,0,18.628200000000000,-92.466999999999999
42,0,18.627600000000001,-92.467100000000002
43,0,18.626999999999999,-92.467200000000005
44,0,18.626400000000000,-92.467299999999994
45,0,18.625800000000002,-92.467399999999998
46,0,18.625200000000000,-92.467500000000001
47,0,18.624500000000001,-92.467600000000004
48,0,18.623899999999999,-92.467699999999994
49,0,18.623300000000000,-92.467799999999997
50,0,18.622800000000002,-92.467900000000000
51,0,18.622199999999999,-92.467900000000000
52,0,18.621600000000001,-92.467900000000000
53,0,18.621099999999998,-92.467799999999997
54,0,18.620400000000000,-92.467699999999994
55,0,18.619800000000001,-92.467500000000001
56,0,18.619199999999999,-92.467299999999994
57,0,18.618600000000001,-92.467100000000002
58,0,18.617999999999999,-92.466899999999995
59,0,18.617400000000000,-92.466600000000000
60,0,18.616800000000001,-92.466399999999993
61,0,18.616199999999999,-92.466200000000001
62,0,18.615700000000000,-92.465900000000005
63,0,18.615100000000002,-92.465599999999995
64,0,18.614599999999999,-92.465400000000002
65,0,18.614000000000001,-92.465100000000007
66,0,18.613499999999998,-92.464699999999993
67,0,18.613000000000000,-92.464399999999998
68,0,18.612500000000001,-92.463999999999999
69,0,18.611999999999998,-92.463600000000000
70,0,18.611599999999999,-92.463099999999997
71,0,18.611200000000000,-92.462699999999998
72,0,18.610800000000001,-92.462100000000007
73,0,18.610399999999998,-92.461600000000004
74,0,18.610099999999999,-92.461100000000002
75,0,18.609700000000000,-92.460599999999999
76,0,18.609400000000001,-92.459999999999994
77,0,18.609100000000002,-92.459500000000006
78,0,18.608799999999999,-92.458900000000000
79,0,18.608200000000000,-92.457800000000006
80,0,18.608100000000000,-92.457499999999996
81,0,18.606700000000000,-92.455600000000004
82,0,18.606200000000001,-92.455200000000005
83,0,18.605699999999999,-92.454899999999995
84,0,18.605300000000000,-92.454499999999996
85,0,18.604800000000001,-92.454200000000000
86,0,18.604099999999999,-92.453900000000004
