"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"Lon",-105.0625,-104.9375,-105.4375,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-104.6875,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875
"Lat",29.0625,29.0625,29.1875,29.1875,29.1875,29.1875,29.1875,29.1875,29.3125,29.3125,29.3125,29.3125,29.3125,29.3125,29.4375,29.4375,29.4375,29.4375,29.4375,29.5625,29.5625,29.5625,29.6875,29.6875,29.6875,29.8125,29.8125
"1985-01-31",0.320924563022454,0.210976129650654,0.4356055639394,0.495351435522828,0.265468516789105,0.210976129650654,0.157257547072655,0.210976129650654,0.621318903020812,0.621318903020812,0.621318903020812,0.557123763011063,0.495351435522828,1.67849354894698,0.833975711843606,0.688423196686247,0.688423196686247,0.688423196686247,1.32982327992537,0.914250718926432,0.688423196686247,0.688423196686247,0.914250718926432,0.833975711843606,0.688423196686247,0.833975711843606,0.914250718926432
"1985-02-28",0.320924563022454,0.157257547072655,0.495351435522828,0.495351435522828,0.377556452120188,0.320924563022454,0.265468516789105,0.210976129650654,0.621318903020812,0.688423196686247,0.621318903020812,0.557123763011063,0.495351435522828,1.67849354894698,0.833975711843606,0.688423196686247,0.688423196686247,0.759046954324643,1.32982327992537,0.914250718926432,0.688423196686247,0.688423196686247,0.914250718926432,0.833975711843606,0.759046954324643,0.833975711843606,0.833975711843606
"1985-03-31",0.265468516789105,0.157257547072655,0.495351435522828,0.495351435522828,0.377556452120188,0.320924563022454,0.320924563022454,0.210976129650654,0.495351435522828,0.688423196686247,0.621318903020812,0.557123763011063,0.557123763011063,1.67849354894698,0.914250718926432,0.833975711843606,0.759046954324643,0.688423196686247,1.32982327992537,0.914250718926432,0.759046954324643,0.759046954324643,0.914250718926432,0.833975711843606,0.833975711843606,0.833975711843606,0.833975711843606
"1985-04-30",0.265468516789105,0.210976129650654,0.621318903020812,0.557123763011063,0.4356055639394,0.320924563022454,0.320924563022454,0.265468516789105,0.621318903020812,0.621318903020812,0.621318903020812,0.557123763011063,0.688423196686247,1.67849354894698,0.914250718926432,0.759046954324643,0.688423196686247,0.914250718926432,1.20499071388783,1.00130160459478,0.759046954324643,0.759046954324643,1.00130160459478,0.759046954324643,0.759046954324643,0.914250718926432,0.759046954324643
"1985-05-31",0.320924563022454,0.157257547072655,0.495351435522828,0.495351435522828,0.377556452120188,0.377556452120188,0.377556452120188,0.210976129650654,0.495351435522828,0.621318903020812,0.557123763011063,0.495351435522828,0.557123763011063,1.48094969717728,0.688423196686247,0.688423196686247,0.621318903020812,0.688423196686247,1.20499071388783,0.833975711843606,0.621318903020812,0.688423196686247,0.833975711843606,0.688423196686247,0.621318903020812,0.759046954324643,0.759046954324643
"1985-06-30",-0.483898146470727,-0.541947258289939,-0.157804302789345,-0.157804302789345,-0.371810211139645,-0.371810211139645,-0.157804302789345,-0.427266257372993,0.0514626084388055,0.0514626084388055,0.157257547072655,0.210976129650654,0.157257547072655,1.32982327992537,0.265468516789105,0.377556452120188,0.4356055639394,0.495351435522828,0.914250718926432,0.265468516789105,0.377556452120188,0.4356055639394,0.210976129650654,0.377556452120188,0.377556452120188,0.4356055639394,0.4356055639394
"1985-07-31",-0.263599241423194,-0.317317824001193,0.210976129650654,0.320924563022454,-0.0531708471752698,-0.10541602755121,0.0514626084388055,-0.000925666799329282,0.377556452120188,0.4356055639394,0.557123763011063,0.495351435522828,0.4356055639394,1.48094969717728,0.495351435522828,0.688423196686247,0.759046954324643,0.621318903020812,0.914250718926432,0.495351435522828,0.688423196686247,0.688423196686247,0.495351435522828,0.621318903020812,0.621318903020812,0.557123763011063,0.4356055639394
"1985-08-31",-0.601693129873368,-0.541947258289939,-0.21048153178544,-0.157804302789345,-0.263599241423194,-0.263599241423194,-0.21048153178544,-0.0531708471752698,0.210976129650654,0.265468516789105,0.265468516789105,0.210976129650654,0.210976129650654,1.48094969717728,0.320924563022454,0.4356055639394,0.495351435522828,0.320924563022454,0.759046954324643,0.377556452120188,0.377556452120188,0.377556452120188,0.377556452120188,0.320924563022454,0.265468516789105,0.377556452120188,0.265468516789105
"1985-09-30",0.265468516789105,0.157257547072655,0.621318903020812,0.557123763011063,0.377556452120188,0.4356055639394,0.495351435522828,0.759046954324643,0.688423196686247,0.688423196686247,0.833975711843606,0.759046954324643,1.09717853320074,1.48094969717728,0.688423196686247,0.759046954324643,0.914250718926432,1.00130160459478,1.67849354894698,0.759046954324643,0.914250718926432,0.833975711843606,0.759046954324643,0.759046954324643,0.914250718926432,0.621318903020812,0.688423196686247
"1985-10-31",0.495351435522828,0.4356055639394,0.621318903020812,0.621318903020812,0.495351435522828,0.557123763011063,0.759046954324643,1.09717853320074,0.759046954324643,0.914250718926432,1.09717853320074,1.09717853320074,1.20499071388783,1.20499071388783,0.914250718926432,1.09717853320074,1.09717853320074,1.00130160459478,1.48094969717728,0.914250718926432,1.09717853320074,1.09717853320074,0.833975711843606,1.09717853320074,1.09717853320074,0.833975711843606,0.914250718926432
"1985-11-30",0.265468516789105,0.210976129650654,0.4356055639394,0.495351435522828,0.320924563022454,0.377556452120188,0.621318903020812,0.833975711843606,0.833975711843606,0.914250718926432,1.00130160459478,0.914250718926432,1.09717853320074,1.32982327992537,0.914250718926432,0.914250718926432,1.00130160459478,1.09717853320074,1.09717853320074,0.914250718926432,1.00130160459478,0.914250718926432,0.914250718926432,0.914250718926432,1.00130160459478,0.759046954324643,0.833975711843606
"1985-12-31",0.104139837434901,0.0514626084388055,0.157257547072655,0.320924563022454,0.210976129650654,0.210976129650654,0.377556452120188,0.759046954324643,0.759046954324643,0.914250718926432,0.759046954324643,0.759046954324643,1.20499071388783,0.557123763011063,0.914250718926432,0.914250718926432,0.833975711843606,0.833975711843606,0.914250718926432,0.833975711843606,0.833975711843606,0.833975711843606,0.759046954324643,0.759046954324643,0.833975711843606,0.621318903020812,0.759046954324643
"1986-01-31",0.104139837434901,0.0514626084388055,0.265468516789105,0.320924563022454,0.320924563022454,0.157257547072655,0.320924563022454,0.621318903020812,0.833975711843606,0.914250718926432,0.759046954324643,0.759046954324643,1.09717853320074,0.377556452120188,0.914250718926432,1.00130160459478,0.914250718926432,0.914250718926432,0.833975711843606,1.00130160459478,0.914250718926432,0.914250718926432,0.833975711843606,0.914250718926432,0.914250718926432,0.688423196686247,0.688423196686247
"1986-02-28",0.157257547072655,0.104139837434901,0.377556452120188,0.4356055639394,0.320924563022454,0.104139837434901,0.210976129650654,0.557123763011063,0.759046954324643,0.833975711843606,0.688423196686247,0.688423196686247,1.00130160459478,0.4356055639394,0.759046954324643,0.914250718926432,0.833975711843606,0.833975711843606,0.759046954324643,0.833975711843606,0.833975711843606,0.833975711843606,0.759046954324643,0.759046954324643,0.833975711843606,0.688423196686247,0.688423196686247
"1986-03-31",0.104139837434901,0.0514626084388055,0.265468516789105,0.377556452120188,0.265468516789105,0.104139837434901,0.157257547072655,0.557123763011063,0.688423196686247,0.833975711843606,0.688423196686247,0.621318903020812,1.00130160459478,0.4356055639394,0.759046954324643,0.914250718926432,0.833975711843606,0.833975711843606,0.833975711843606,0.833975711843606,0.833975711843606,0.833975711843606,0.759046954324643,0.759046954324643,0.759046954324643,0.688423196686247,0.688423196686247
