"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18"
"Lon",-105.3125,-105.4375,-105.3125,-105.3125,-105.1875,-105.1875,-105.0625,-105.3125,-105.1875,-105.3125,-105.1875,-105.3125,-105.3125,-105.1875,-105.4375,-105.3125,-105.1875,-105.1875
"Lat",27.4375,27.5625,27.5625,27.6875,27.6875,27.8125,27.8125,27.9375,27.9375,28.0625,28.0625,28.1875,28.3125,28.3125,28.4375,28.4375,28.4375,28.5625
"1961-01-31",-0.000925666799329282,-0.000925666799329282,0.210976129650654,0.210976129650654,0.377556452120188,0.210976129650654,0.104139837434901,0.495351435522828,0.557123763011063,0.377556452120188,0.495351435522828,0.265468516789105,0.4356055639394,0.210976129650654,0.104139837434901,0.0514626084388055,0.157257547072655,0.0514626084388055
"1961-02-28",0.0514626084388055,0.104139837434901,0.157257547072655,0.104139837434901,0.320924563022454,0.104139837434901,0.157257547072655,0.495351435522828,0.495351435522828,0.377556452120188,0.557123763011063,0.157257547072655,0.4356055639394,0.104139837434901,-0.000925666799329282,-0.000925666799329282,0.0514626084388055,-0.000925666799329282
"1961-03-31",0.0514626084388055,0.104139837434901,0.157257547072655,0.104139837434901,0.320924563022454,0.157257547072655,0.157257547072655,0.495351435522828,0.4356055639394,0.377556452120188,0.495351435522828,0.157257547072655,0.377556452120188,0.104139837434901,-0.000925666799329282,-0.000925666799329282,0.0514626084388055,-0.0531708471752698
"1961-04-30",0.0514626084388055,0.104139837434901,0.157257547072655,0.157257547072655,0.265468516789105,0.210976129650654,0.265468516789105,0.377556452120188,0.4356055639394,0.4356055639394,0.4356055639394,0.320924563022454,0.377556452120188,0.210976129650654,0.0514626084388055,0.0514626084388055,0.210976129650654,0.0514626084388055
"1961-05-31",0.0514626084388055,0.104139837434901,0.265468516789105,0.320924563022454,0.320924563022454,0.265468516789105,0.265468516789105,0.495351435522828,0.557123763011063,0.377556452120188,0.4356055639394,0.320924563022454,0.4356055639394,0.265468516789105,0.104139837434901,0.0514626084388055,0.104139837434901,0.104139837434901
"1961-06-30",0.495351435522828,0.377556452120188,0.557123763011063,0.621318903020812,0.688423196686247,0.621318903020812,0.914250718926432,0.914250718926432,1.20499071388783,0.833975711843606,0.833975711843606,0.621318903020812,0.621318903020812,0.495351435522828,0.688423196686247,0.621318903020812,0.621318903020812,0.4356055639394
"1961-07-31",0.265468516789105,0.210976129650654,0.4356055639394,0.4356055639394,0.759046954324643,0.688423196686247,0.759046954324643,0.557123763011063,0.833975711843606,-0.10541602755121,-0.0531708471752698,-0.263599241423194,-0.0531708471752698,-0.10541602755121,-0.10541602755121,-0.10541602755121,0.0514626084388055,-0.0531708471752698
"1961-08-31",-0.263599241423194,-0.427266257372993,-0.10541602755121,-0.0531708471752698,0.210976129650654,0.157257547072655,0.210976129650654,-0.317317824001193,0.157257547072655,-0.601693129873368,-0.663465457361603,-0.541947258289939,-0.541947258289939,-0.601693129873368,-0.427266257372993,-0.427266257372993,-0.427266257372993,-0.427266257372993
"1961-09-30",-0.000925666799329282,-0.21048153178544,0.0514626084388055,0.210976129650654,0.320924563022454,0.210976129650654,0.265468516789105,-0.0531708471752698,0.495351435522828,-0.663465457361603,-0.794764891036786,-0.541947258289939,-0.483898146470727,-0.483898146470727,-0.263599241423194,-0.427266257372993,-0.371810211139645,-0.317317824001193
"1961-10-31",0.104139837434901,-0.0531708471752698,0.157257547072655,0.210976129650654,0.377556452120188,0.210976129650654,0.265468516789105,0.157257547072655,0.759046954324643,-0.601693129873368,-0.865388648675183,-0.483898146470727,-0.541947258289939,-0.541947258289939,-0.263599241423194,-0.483898146470727,-0.427266257372993,-0.427266257372993
"1961-11-30",-0.000925666799329282,-0.0531708471752698,0.104139837434901,0.104139837434901,0.265468516789105,0.210976129650654,0.210976129650654,-0.0531708471752698,0.495351435522828,-0.865388648675183,-1.02059241327697,-0.663465457361603,-0.601693129873368,-0.663465457361603,-0.541947258289939,-0.483898146470727,-0.371810211139645,-0.427266257372993
"1961-12-31",-0.0531708471752698,-0.0531708471752698,-0.0531708471752698,-0.000925666799329282,0.320924563022454,0.0514626084388055,0.104139837434901,-0.157804302789345,0.4356055639394,-1.10764329894532,-1.20352022755128,-0.663465457361603,-0.601693129873368,-0.601693129873368,-0.601693129873368,-0.601693129873368,-0.541947258289939,-0.483898146470727
"1962-01-31",-0.21048153178544,-0.371810211139645,-0.21048153178544,-0.157804302789345,0.210976129650654,-0.157804302789345,-0.21048153178544,-0.427266257372993,-0.0531708471752698,-1.10764329894532,-1.31133240823837,-0.794764891036786,-0.663465457361603,-0.727660597371351,-0.727660597371351,-0.663465457361603,-0.663465457361603,-0.601693129873368
"1962-02-28",-0.157804302789345,-0.371810211139645,-0.0531708471752698,-0.000925666799329282,0.157257547072655,-0.000925666799329282,-0.10541602755121,-0.371810211139645,-0.000925666799329282,-1.20352022755128,-1.43616497427591,-0.794764891036786,-0.663465457361603,-0.727660597371351,-0.663465457361603,-0.663465457361603,-0.663465457361603,-0.601693129873368
"1962-03-31",-0.21048153178544,-0.317317824001193,-0.0531708471752698,-0.000925666799329282,0.157257547072655,-0.000925666799329282,-0.10541602755121,-0.427266257372993,0.0514626084388055,-1.31133240823837,-1.31133240823837,-0.865388648675183,-0.663465457361603,-0.727660597371351,-0.727660597371351,-0.663465457361603,-0.663465457361603,-0.601693129873368
"1962-04-30",-0.21048153178544,-0.371810211139645,-0.10541602755121,-0.000925666799329282,0.104139837434901,0.0514626084388055,-0.0531708471752698,-0.427266257372993,0.0514626084388055,-1.31133240823837,-1.31133240823837,-0.794764891036786,-0.727660597371351,-0.663465457361603,-0.727660597371351,-0.663465457361603,-0.663465457361603,-0.601693129873368
"1962-05-31",-0.371810211139645,-0.601693129873368,-0.157804302789345,-0.157804302789345,0.104139837434901,-0.21048153178544,-0.21048153178544,-0.483898146470727,-0.157804302789345,-1.10764329894532,-1.20352022755128,-0.794764891036786,-0.794764891036786,-0.727660597371351,-0.794764891036786,-0.727660597371351,-0.727660597371351,-0.663465457361603
"1962-06-30",-0.794764891036786,-0.940317406194146,-0.663465457361603,-0.601693129873368,-0.263599241423194,-0.663465457361603,-1.02059241327697,-1.02059241327697,-1.10764329894532,-2.09000497887666,-1.78483524329751,-1.58729139152782,-1.43616497427591,-1.78483524329751,-1.58729139152782,-1.58729139152782,-1.43616497427591,-1.58729139152782
"1962-07-31",-0.601693129873368,-0.541947258289939,-0.427266257372993,-0.371810211139645,-0.21048153178544,-0.427266257372993,-0.940317406194146,-0.794764891036786,-0.794764891036786,-1.58729139152782,-1.58729139152782,-1.43616497427591,-1.43616497427591,-1.31133240823837,-1.31133240823837,-1.31133240823837,-1.10764329894532,-0.794764891036786
"1962-08-31",-0.727660597371351,-0.794764891036786,-0.601693129873368,-0.483898146470727,-0.427266257372993,-0.727660597371351,-1.02059241327697,-0.865388648675183,-0.794764891036786,-2.09000497887666,-2.09000497887666,-1.58729139152782,-1.43616497427591,-1.43616497427591,-1.43616497427591,-1.58729139152782,-1.43616497427591,-1.02059241327697
"1962-09-30",-0.794764891036786,-0.727660597371351,-0.601693129873368,-0.541947258289939,-0.727660597371351,-0.663465457361603,-0.865388648675183,-0.865388648675183,-1.02059241327697,-1.43616497427591,-1.58729139152782,-1.02059241327697,-1.02059241327697,-1.02059241327697,-0.865388648675183,-0.940317406194146,-0.865388648675183,-0.21048153178544
"1962-10-31",-0.483898146470727,-0.371810211139645,-0.371810211139645,-0.371810211139645,-0.483898146470727,-0.483898146470727,-0.601693129873368,-0.727660597371351,-0.663465457361603,-0.940317406194146,-1.10764329894532,-0.601693129873368,-0.601693129873368,-0.601693129873368,-0.601693129873368,-0.601693129873368,-0.601693129873368,-0.10541602755121
"1962-11-30",-0.427266257372993,-0.371810211139645,-0.371810211139645,-0.317317824001193,-0.371810211139645,-0.427266257372993,-0.601693129873368,-0.601693129873368,-0.541947258289939,-0.663465457361603,-0.865388648675183,-0.601693129873368,-0.541947258289939,-0.483898146470727,-0.483898146470727,-0.541947258289939,-0.427266257372993,-0.10541602755121
"1962-12-31",-0.263599241423194,-0.317317824001193,-0.263599241423194,-0.263599241423194,-0.263599241423194,-0.371810211139645,-0.483898146470727,-0.483898146470727,-0.427266257372993,-0.601693129873368,-0.727660597371351,-0.483898146470727,-0.483898146470727,-0.427266257372993,-0.371810211139645,-0.483898146470727,-0.371810211139645,0.104139837434901
"1963-01-31",-0.317317824001193,-0.317317824001193,-0.317317824001193,-0.317317824001193,-0.263599241423194,-0.427266257372993,-0.427266257372993,-0.371810211139645,-0.427266257372993,-0.483898146470727,-0.601693129873368,-0.371810211139645,-0.483898146470727,-0.427266257372993,-0.371810211139645,-0.541947258289939,-0.371810211139645,0.104139837434901
"1963-02-28",-0.21048153178544,-0.10541602755121,-0.10541602755121,-0.0531708471752698,-0.0531708471752698,-0.21048153178544,-0.263599241423194,-0.317317824001193,-0.317317824001193,-0.427266257372993,-0.541947258289939,-0.371810211139645,-0.483898146470727,-0.483898146470727,-0.317317824001193,-0.541947258289939,-0.371810211139645,0.0514626084388055
"1963-03-31",-0.157804302789345,-0.10541602755121,-0.157804302789345,-0.10541602755121,-0.10541602755121,-0.263599241423194,-0.263599241423194,-0.317317824001193,-0.317317824001193,-0.427266257372993,-0.541947258289939,-0.371810211139645,-0.427266257372993,-0.483898146470727,-0.427266257372993,-0.541947258289939,-0.371810211139645,0.0514626084388055
"1963-04-30",-0.157804302789345,-0.0531708471752698,-0.0531708471752698,0.0514626084388055,-0.0531708471752698,-0.10541602755121,-0.21048153178544,-0.21048153178544,-0.0531708471752698,-0.371810211139645,-0.317317824001193,-0.263599241423194,-0.21048153178544,-0.371810211139645,-0.317317824001193,-0.427266257372993,-0.263599241423194,0.157257547072655
"1963-05-31",-0.10541602755121,-0.10541602755121,-0.0531708471752698,0.0514626084388055,-0.000925666799329282,0.0514626084388055,-0.0531708471752698,-0.10541602755121,0.0514626084388055,-0.263599241423194,-0.371810211139645,-0.21048153178544,-0.157804302789345,-0.21048153178544,-0.21048153178544,-0.427266257372993,-0.21048153178544,0.157257547072655
"1963-06-30",0.0514626084388055,-0.10541602755121,0.0514626084388055,0.104139837434901,0.265468516789105,0.265468516789105,0.320924563022454,0.265468516789105,0.4356055639394,-0.157804302789345,-0.0531708471752698,-0.000925666799329282,0.104139837434901,0.104139837434901,0.210976129650654,0.104139837434901,0.210976129650654,0.621318903020812
"1963-07-31",-0.263599241423194,-0.263599241423194,-0.157804302789345,0.0514626084388055,0.157257547072655,0.157257547072655,0.0514626084388055,-0.0531708471752698,0.104139837434901,-0.371810211139645,-0.263599241423194,-0.157804302789345,-0.000925666799329282,-0.0531708471752698,0.0514626084388055,0.0514626084388055,0.104139837434901,0.320924563022454
"1963-08-31",0.0514626084388055,-0.000925666799329282,0.210976129650654,0.265468516789105,0.557123763011063,0.4356055639394,0.495351435522828,0.320924563022454,0.833975711843606,0.157257547072655,0.104139837434901,0.210976129650654,0.265468516789105,0.320924563022454,0.495351435522828,0.320924563022454,0.4356055639394,0.688423196686247
