FID,ET_ID,Lat,Lon
222,0,31.1662,-105.772
223,0,31.1651,-105.7704
224,0,31.1646,-105.7688
225,0,31.1638,-105.7629
226,0,31.1645,-105.7529
227,0,31.1646,-105.749
228,0,31.1649,-105.7457
229,0,31.1649,-105.7456
230,0,31.1648,-105.7433
231,0,31.1645,-105.7426
232,0,31.1634,-105.7404
233,0,31.1431,-105.7172
234,0,31.1425,-105.7171
235,0,31.1408,-105.7161
236,0,31.1389,-105.7134
237,0,31.1368,-105.7105
238,0,31.1356,-105.7082
239,0,31.1349,-105.7061
240,0,31.1289,-105.6879
241,0,31.1289,-105.6876
242,0,31.1201,-105.662
243,0,31.1194,-105.6614
244,0,31.1195,-105.6602
245,0,31.1154,-105.6483
246,0,31.0985,-105.6423
247,0,31.0985,-105.6413
248,0,31.0979,-105.6407
249,0,31.0976,-105.6399
250,0,31.0975,-105.6394
251,0,31.0976,-105.6357
252,0,31.0983,-105.63
253,0,31.0982,-105.627
254,0,31.0833,-105.6041
255,0,31.0647,-105.5956
256,0,31.0559,-105.585
257,0,31.0284,-105.5802
258,0,31.027,-105.5807
259,0,31.0245,-105.5795
260,0,31.0212,-105.5789
261,0,31.0207,-105.5777
262,0,31.0198,-105.5773
263,0,31.0191,-105.576
264,0,31.0191,-105.5742
265,0,31.017,-105.5697
266,0,31.0087,-105.5704
267,0,30.99,-105.5576
268,0,30.9899,-105.5569
269,0,30.9896,-105.5566
270,0,30.9864,-105.5481
271,0,30.9845,-105.542
272,0,30.9858,-105.5382
273,0,30.9846,-105.533
274,0,30.9762,-105.5257
275,0,30.9655,-105.5163
276,0,30.9671,-105.5076
277,0,30.9671,-105.5074
278,0,30.9673,-105.5061
279,0,30.9675,-105.5053
280,0,30.9675,-105.5053
281,0,30.9678,-105.5028
282,0,30.9678,-105.5027
283,0,30.9625,-105.4985
284,0,30.9581,-105.495
285,0,30.9567,-105.4952
286,0,30.9508,-105.4993
287,0,30.9457,-105.4899
288,0,30.9423,-105.4915
289,0,30.9405,-105.4872
290,0,30.9404,-105.487
291,0,30.9358,-105.476
292,0,30.9343,-105.4754
293,0,30.9342,-105.4736
294,0,30.9344,-105.4727
295,0,30.9337,-105.4711
296,0,30.9248,-105.4672
297,0,30.9247,-105.4655
298,0,30.9245,-105.465
299,0,30.9247,-105.4638
300,0,30.9247,-105.4622
301,0,30.9244,-105.4519
302,0,30.9206,-105.4525
303,0,30.921,-105.4534
304,0,30.9201,-105.4539
305,0,30.919,-105.4543
