"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"Lon",-105.0625,-104.9375,-105.4375,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-104.6875,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875
"Lat",29.0625,29.0625,29.1875,29.1875,29.1875,29.1875,29.1875,29.1875,29.3125,29.3125,29.3125,29.3125,29.3125,29.3125,29.4375,29.4375,29.4375,29.4375,29.4375,29.5625,29.5625,29.5625,29.6875,29.6875,29.6875,29.8125,29.8125
"1960-01-31",0.800322580645161,0.849677419354839,0.682903225806452,0.733548387096774,0.819354838709677,0.869032258064516,0.923870967741936,0.978709677419355,0.780322580645161,0.842258064516129,0.930322580645161,0.990322580645161,1.04903225806452,1.10516129032258,0.823548387096774,0.885161290322581,0.953225806451613,1.04032258064516,1.10096774193548,0.84258064516129,0.907741935483871,0.977741935483871,0.847741935483871,0.914193548387097,0.982903225806452,0.840322580645161,0.904838709677419
"1960-02-29",0.0824137931034483,0.0786206896551724,0.0455172413793103,0.0437931034482759,0.0803448275862069,0.0737931034482759,0.066551724137931,0.0589655172413793,0.0389655172413793,0.0351724137931035,0.0648275862068965,0.0551724137931035,0.0444827586206897,0.0189655172413793,0.0831034482758621,0.0696551724137931,0.0555172413793103,0.0462068965517241,0.0341379310344828,0.0889655172413793,0.0724137931034483,0.0568965517241379,0.0979310344827586,0.0793103448275862,0.0620689655172414,0.108965517241379,0.0896551724137931
"1960-03-31",0.0487096774193548,0.0409677419354839,0.0529032258064516,0.05,0.0458064516129032,0.0393548387096774,0.0325806451612903,0.0258064516129032,0.0412903225806452,0.0367741935483871,0.0316129032258064,0.0251612903225806,0.0190322580645161,0.0135483870967742,0.0412903225806452,0.0361290322580645,0.0296774193548387,0.02,0.0138709677419355,0.0361290322580645,0.0309677419354839,0.0251612903225806,0.0325806451612903,0.0280645161290323,0.0225806451612903,0.0303225806451613,0.0261290322580645
"1960-04-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1960-05-31",0.00290322580645161,0.0032258064516129,0.00516129032258065,0.00419354838709677,0.00354838709677419,0.0032258064516129,0.00290322580645161,0.00258064516129032,0.00419354838709677,0.00354838709677419,0.0032258064516129,0.00258064516129032,0.00225806451612903,0.00193548387096774,0.00419354838709677,0.00354838709677419,0.00290322580645161,0.00225806451612903,0.00193548387096774,0.00387096774193548,0.0032258064516129,0.00290322580645161,0.00387096774193548,0.0032258064516129,0.00258064516129032,0.00354838709677419,0.0032258064516129
"1960-06-30",0.565666666666667,0.543333333333333,0.566666666666667,0.558,0.546666666666667,0.530333333333333,0.505666666666667,0.475,0.536333333333333,0.52,0.496666666666667,0.468333333333333,0.434,0.400666666666667,0.516333333333333,0.495666666666667,0.469,0.437,0.401,0.5,0.476666666666667,0.449666666666667,0.487666666666667,0.465,0.438,0.479666666666667,0.458333333333333
"1960-07-31",4.25451612903226,4.12387096774194,4.68129032258064,4.37451612903226,4.23032258064516,4.07,3.8941935483871,3.71129032258065,4.25096774193548,4.07741935483871,3.88451612903226,3.67741935483871,3.46451612903226,3.27870967741935,4.29258064516129,3.94096774193548,3.73161290322581,3.50548387096774,3.27483870967742,4.19677419354839,3.96967741935484,3.62483870967742,4.05612903225806,3.84451612903226,3.57064516129032,3.84967741935484,3.6858064516129
"1960-08-31",2.47967741935484,2.29516129032258,2.50032258064516,2.42967741935484,2.33322580645161,2.1858064516129,1.96806451612903,1.71548387096774,2.24129032258064,2.0941935483871,1.89935483870968,1.65548387096774,1.37483870967742,1.09709677419355,2.06645161290323,1.88806451612903,1.66548387096774,1.39838709677419,1.10193548387097,1.92,1.72870967741935,1.49774193548387,1.66225806451613,1.62483870967742,1.40290322580645,1.63516129032258,1.46225806451613
"1960-09-30",0.328,0.288333333333333,0.280333333333333,0.289,0.285333333333333,0.264,0.227333333333333,0.186333333333333,0.245333333333333,0.233666666666667,0.209666666666667,0.176,0.137,0.0993333333333333,0.212,0.195333333333333,0.17,0.137333333333333,0.0996666666666667,0.187333333333333,0.168,0.143333333333333,0.211333333333333,0.150333333333333,0.127,0.202666666666667,0.179
"1960-10-31",0.291290322580645,0.274516129032258,0.240967741935484,0.256129032258064,0.264516129032258,0.263225806451613,0.255161290322581,0.245161290322581,0.241290322580645,0.246451612903226,0.245806451612903,0.241290322580645,0.235806451612903,0.230322580645161,0.231612903225806,0.234838709677419,0.235161290322581,0.233548387096774,0.23,0.225483870967742,0.227741935483871,0.229032258064516,0.325161290322581,0.223870967741935,0.225483870967742,0.345483870967742,0.323548387096774
"1960-11-30",0.743,0.824666666666667,0.891666666666667,0.855333333333333,0.846333333333333,0.876666666666667,0.94,1.014,0.939333333333333,0.947666666666667,0.98,1.03333333333333,1.097,1.15733333333333,1.001,1.01833333333333,1.052,1.10033333333333,1.157,1.04566666666667,1.067,1.09933333333333,0.848333333333333,1.09766666666667,1.12766666666667,0.826,0.894666666666667
"1960-12-31",0.749032258064516,0.783225806451613,0.76741935483871,0.771290322580645,0.780967741935484,0.802903225806452,0.838387096774194,0.879354838709677,0.805483870967742,0.823870967741936,0.852258064516129,0.889354838709677,0.932258064516129,0.974838709677419,0.835161290322581,0.859032258064516,0.891290322580645,0.93,0.974516129032258,0.858387096774194,0.885161290322581,0.91741935483871,0.899354838709677,0.897741935483871,0.932903225806452,0.908064516129032,0.930322580645161
"1961-01-31",0.458064516129032,0.607741935483871,0.784838709677419,0.706774193548387,0.651612903225806,0.644838709677419,0.723870967741935,0.884193548387097,0.845161290322581,0.750322580645161,0.799032258064516,0.870967741935484,0.992903225806452,1.12387096774194,1.01774193548387,0.96258064516129,0.923870967741936,0.994193548387097,1.09677419354839,1.11838709677419,1.07548387096774,1.00935483870968,1.18903225806452,1.15096774193548,1.14290322580645,1.09290322580645,1.07935483870968
"1961-02-28",0.00392857142857143,0.025,0.0442857142857143,0.0285714285714286,0.01,0.025,0.0392857142857143,0.0692857142857143,0.0603571428571429,0.0125,0.0407142857142857,0.0503571428571429,0.0664285714285714,0.0814285714285714,0.0614285714285714,0.0460714285714286,0.0485714285714286,0.0535714285714286,0.0582142857142857,0.0742857142857143,0.0575,0.0528571428571429,0.0828571428571429,0.0653571428571428,0.0521428571428571,0.103928571428571,0.0882142857142857
"1961-03-31",0.00032258064516129,0.00354838709677419,0,0,0,0.0032258064516129,0.00580645161290323,0.0106451612903226,0,0,0.00548387096774194,0.00709677419354839,0.01,0.0125806451612903,0,0,0.00645161290322581,0.00741935483870968,0.00806451612903226,0,0,0.00709677419354839,0,0,0,0.0190322580645161,0.0174193548387097
"1961-04-30",0.000666666666666667,0.00433333333333333,0.002,0.00133333333333333,0.001,0.004,0.00733333333333333,0.014,0,0.00133333333333333,0.007,0.00933333333333333,0.0126666666666667,0.016,0,0,0.00866666666666667,0.00966666666666667,0.0103333333333333,0,0,0.00933333333333333,0,0,0,0,0
