OBJECTID,ID,CVE_SUBCUE,CVE_RH,RH,CVE_CUE,CUENCA,CVE_SUBC,SUBCUENCA,AREA_KM2,PERIMETRO,Lon,Lat
1347,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65189737,29.2340328834
1348,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.651984588,29.2338061149
1349,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652036919,29.2336142337
1350,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652071807,29.2334572409
1351,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652141581,29.2333351354
1352,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652141581,29.233125811
1353,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652159025,29.2328815992
1354,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652193914,29.2326199442
1355,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652263687,29.2323408441
1356,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652333462,29.2319396394
1357,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652507899,29.2315907654
1358,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652752111,29.2312244481
1359,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653013766,29.2308755741
1360,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653170761,29.2306313623
1361,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653257978,29.2304045938
1362,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653205647,29.2301429387
1363,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652996324,29.2299510585
1364,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652711561,29.2297095042
1365,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652281132,29.2292881979
1366,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652003668,29.22914682
1367,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.651513589,29.2288201008
1368,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.651096115,29.2285478337
1369,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650497128,29.2279669994
1370,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650253204,29.2273944019
1371,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650033782,29.2269007002
1372,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.649622363,29.226434426
1373,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.649238373,29.2260778628
1374,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648964095,29.2255841611
1375,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648634959,29.224898464
1376,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648246392,29.2240282125
1377,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.647949262,29.223197935
1378,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.647429593,29.2224127648
1379,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.646721702,29.2217411754
1380,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.646276161,29.2212505548
1381,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.646111593,29.2205648577
1382,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.645672748,29.2198791615
1383,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.645041907,29.2193580313
1384,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.64487734,29.2190288966
1385,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.64446592,29.2185626224
1386,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.644027075,29.2181786325
1387,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.643670512,29.2178769253
1388,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.643231666,29.2174106511
1389,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.642902531,29.2168895209
1390,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.642545969,29.2164506752
1391,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.642052266,29.2157924065
1392,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.641566791,29.2154245955
1393,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.64138528,29.2150434223
1394,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.641366569,29.2145032949
1395,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.641064863,29.2139273088
1396,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.640626016,29.2135707474
1397,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.640159743,29.213378752
1398,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.639830607,29.2129399054
1399,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.639227194,29.2123913477
1400,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.63876092,29.2120896413
1401,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.638349503,29.21184279
1402,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.637883228,29.2114588002
1403,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.637389527,29.21093767
1404,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.636831826,29.2103753977
1405,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.636210126,29.2093514242
1406,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635661569,29.2084371608
1407,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635332435,29.2077057503
1408,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635295865,29.2073034755
1409,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635149582,29.2064989231
1410,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.634930158,29.2054018077
1411,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.634705678,29.2044431844
1412,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.63457862,29.2039894072
1413,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.634539732,29.2035200501
1414,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.634594642,29.2032704559
1415,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.634729423,29.2030957401
1416,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.634862287,29.2027895605
1417,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635032398,29.2022287514
1418,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635141304,29.2016842182
1419,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635431722,29.2010126278
1420,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.635576931,29.2004317935
1421,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.636103313,29.1999598653
1422,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.6367386,29.1997420522
1423,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.637174226,29.1991793679
1424,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.637555399,29.1986166837
1425,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.637736911,29.1978543383
1426,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.637900271,29.1970193879
1427,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.638299594,29.1964385527
1428,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.638590012,29.1960210784
1429,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.63893067,29.1955262265
1430,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.639335403,29.1948871151
1431,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.640091822,29.194058657
1432,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.640992321,29.1932301979
1433,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.641784759,29.1925097987
1434,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.642685258,29.1920775602
1435,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.643369636,29.1916813414
1436,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.643909936,29.1911770619
1437,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.644414215,29.1907088029
1438,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.644846454,29.1903486028
1439,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.645242673,29.1898443242
1440,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.645422978,29.1895877512
1441,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.645526104,29.1893388107
1442,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.645838714,29.1894142791
1443,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.646160517,29.1895141489
1444,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.64644903,29.1895807293
1445,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.646770833,29.1896473088
1446,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.647070443,29.1896916957
1447,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.647392246,29.1896916957
1448,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.647580891,29.189680599
1449,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.647802823,29.1896029227
1450,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.647924887,29.1894808596
1451,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648046949,29.1893033127
1452,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648169013,29.1891368635
1453,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648279979,29.1889371231
1454,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648435334,29.1887817698
1455,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.64874604,29.1886153205
1456,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.648834813,29.1885487401
1457,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.649078939,29.1885820303
1458,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.649311969,29.1886375131
1459,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.649511709,29.1886708033
1460,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.649722546,29.1887595763
1461,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.649900092,29.1889371231
1462,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650022156,29.1890702831
1463,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650133122,29.1892145388
1464,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650288475,29.1893255062
1465,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650388346,29.1893920857
1466,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650543699,29.1894142791
1467,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.650765633,29.1894697628
1468,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.651031953,29.1894919563
1469,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.651176209,29.189503053
1470,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.651460032,29.1895302045
1471,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65173909,29.1894733241
1472,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65200204,29.1894185428
1473,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65219925,29.1893856744
1474,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652383208,29.1893242957
1475,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65269174,29.1892802199
1476,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.652956193,29.1892802199
1477,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653198609,29.1894124481
1478,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653375672,29.1895732991
1479,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65350714,29.1898091292
1480,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653589319,29.1900663281
1481,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653704358,29.1902553233
1482,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.653852267,29.1903950141
1483,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.654024827,29.190460751
1484,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.654197387,29.1904936203
1485,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.6543946,29.1905100545
1486,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.654657547,29.1905100545
1487,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.654895846,29.1905264887
1488,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.655273834,29.1905429229
1489,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.655622774,29.1905584164
1490,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.655997417,29.1906686059
1491,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.656342063,29.1906086598
1492,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.656615937,29.1904938028
1493,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65680448,29.190369861
1494,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.656991218,29.1902471053
1495,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.657204864,29.1899923741
1496,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.657434944,29.1897376421
1497,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65770611,29.1895075622
1498,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.657870453,29.1893185679
1499,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.657993711,29.1891542249
1500,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.65810875,29.1889734468
1501,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.658256659,29.1886776301
1502,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.658445653,29.1884064638
1503,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.658634648,29.1882092524
1504,879,RH24Jb,RH24,BRAVO CONCHOS,J,R. CONCHOS - OJINAGA,b,R. Conchos - Cuchillo Parado,4531.49,373.88,-104.658782557,29.1881188642
