OBJECTID_1,Lon,Lat
340,-105.155263148,27.7253456036
341,-105.158767527,27.7246352156
342,-105.167721404,27.723832479
343,-105.178008658,27.7258282788
344,-105.183056563,27.7240048826
345,-105.18542408,27.721358891
346,-105.185542773,27.7191875858
347,-105.18196532,27.6981940143
348,-105.174340625,27.6835676996
349,-105.17335798,27.6788090827
350,-105.169085695,27.6708519298
351,-105.167562289,27.6624128698
352,-105.167674961,27.6556848248
353,-105.16852326,27.6537134947
354,-105.167828428,27.6528589598
355,-105.172150306,27.6460557783
356,-105.18297571,27.6332834582
357,-105.184331272,27.6310901772
358,-105.185622958,27.6254235373
359,-105.194784399,27.6159340817
360,-105.203072248,27.6042876553
361,-105.20583615,27.5988150036
362,-105.216928043,27.5901585181
363,-105.226900738,27.5839043718
364,-105.239761665,27.5791228554
365,-105.246164161,27.574886643
366,-105.253914417,27.5732296313
367,-105.263227854,27.5700277373
368,-105.266817347,27.5675766108
369,-105.269450994,27.5644907886
370,-105.270838481,27.56164433
371,-105.270711607,27.5547021862
372,-105.277628531,27.5500211565
373,-105.280298103,27.5462827916
374,-105.280302441,27.5415070606
375,-105.281555029,27.5364940794
376,-105.287945997,27.5276968986
377,-105.298654911,27.5166513056
378,-105.299558586,27.5135979454
379,-105.299237223,27.5055728631
380,-105.295275665,27.5010854448
381,-105.291798464,27.4920332954
382,-105.290012434,27.4790391054
383,-105.287705881,27.4712685978
384,-105.286584737,27.4691200068
385,-105.282105856,27.4650756117
386,-105.2786452,27.4558041131
387,-105.276031029,27.4538953929
388,-105.276488483,27.4452073358
389,-105.271257649,27.4413920168
390,-105.271440458,27.4379181498
391,-105.267895896,27.4349412625
392,-105.265620987,27.4312915412
393,-105.26494146,27.4254449559
394,-105.265545658,27.4187044077
395,-105.268478481,27.4051951498
396,-105.274067302,27.3974991789
397,-105.275818226,27.3970330414
398,-105.278438362,27.3941659533
399,-105.278596362,27.3911231925
400,-105.282273003,27.3869335667
401,-105.28341977,27.383875253
402,-105.283538269,27.3769256772
403,-105.284640979,27.3747341319
404,-105.290381169,27.3687750801
405,-105.29064588,27.3637752434
406,-105.291699737,27.3624572051
407,-105.295777352,27.3599952517
408,-105.301782911,27.358366378
409,-105.31463211,27.3579159553
410,-105.317450586,27.3559121191
411,-105.31866343,27.3515488037
412,-105.325307038,27.3518630107
413,-105.329800702,27.3461377098
414,-105.334486788,27.3319434698
415,-105.336595669,27.3293022059
416,-105.342982317,27.3250615347
417,-105.34717825,27.3249834627
418,-105.352991047,27.322271763
419,-105.357186871,27.3221956489
420,-105.359755729,27.3201938543
421,-105.360943919,27.3210394301
422,-105.361976173,27.3249278612
423,-105.367786315,27.3317672486
424,-105.37026533,27.3362792435
425,-105.371037834,27.3403872135
426,-105.375883998,27.3515848225
427,-105.377656151,27.360233402
428,-105.372569712,27.3774770227
429,-105.366462166,27.3858373183
430,-105.357951889,27.3929396108
431,-105.35699516,27.3970813935
432,-105.359487171,27.4013768254
433,-105.368826116,27.4068459616
434,-105.370306704,27.4068194684
435,-105.372621324,27.405039309
436,-105.377077212,27.4095164858
437,-105.382780384,27.4089750696
438,-105.383016946,27.409188834
439,-105.383100487,27.4099469526
440,-105.381678962,27.4111651095
441,-105.382321382,27.4131088727
442,-105.384308646,27.4128528852
443,-105.387170039,27.409978597
444,-105.388405046,27.4099548495
445,-105.389302854,27.411674427
446,-105.391965775,27.4127119515
447,-105.394760048,27.4159135011
448,-105.396534779,27.4197882185
449,-105.39620985,27.4213148626
450,-105.392044184,27.4255178541
451,-105.390662805,27.43313904
452,-105.385574406,27.4360556844
453,-105.384316777,27.4460620811
454,-105.384901874,27.4490915841
455,-105.388102976,27.454023218
456,-105.389225299,27.4609467315
457,-105.394660556,27.4656214174
458,-105.394359455,27.4714858704
459,-105.393112207,27.4717286361
460,-105.389843189,27.4728753373
461,-105.387472405,27.4757392742
462,-105.382339437,27.4795271108
463,-105.380463021,27.4823805409
464,-105.37766445,27.4839544948
465,-105.376698013,27.4883130537
466,-105.377596291,27.4900326825
467,-105.377504298,27.496544266
468,-105.37639286,27.4989531963
469,-105.378459569,27.5019538599
470,-105.378279727,27.5054300642
471,-105.38121067,27.5203518198
472,-105.387324877,27.5263135875
473,-105.390572882,27.5351539943
474,-105.399567035,27.5427997866
475,-105.401984437,27.5486157238
476,-105.403411679,27.5496723508
477,-105.407098598,27.5500385089
478,-105.417071451,27.5483320345
479,-105.433451546,27.5564858682
480,-105.43763381,27.55684064
481,-105.441465821,27.5543797486
482,-105.445491946,27.5530014567
483,-105.449638468,27.5540082351
484,-105.454599502,27.5584720974
485,-105.457088498,27.5629822991
486,-105.465152658,27.5695547784
487,-105.470520026,27.5757454902
488,-105.476236047,27.5799780406
489,-105.478657353,27.5857903014
490,-105.481235047,27.5885619094
491,-105.491351276,27.5937918511
492,-105.505522841,27.5969909177
493,-105.519324698,27.6075744903
494,-105.52351347,27.6127022222
495,-105.52983797,27.6147477923
496,-105.533555752,27.6194504534
497,-105.53909492,27.6223787979
498,-105.541695659,27.6247158329
499,-105.54349184,27.6283694807
500,-105.540033017,27.6332127283
501,-105.535587329,27.6330832691
502,-105.531754754,27.6355467388
503,-105.529252994,27.6410202331
504,-105.529272083,27.6455790692
505,-105.540726354,27.6538198863
506,-105.541743403,27.6581400954
507,-105.540502347,27.6631574661
508,-105.529891226,27.6724809779
509,-105.525312883,27.674958406
510,-105.521401234,27.6789407695
511,-105.518353558,27.6805207344
512,-105.5147236,27.6838473627
513,-105.51100887,27.6839197941
514,-105.508104376,27.6826733967
515,-105.504791765,27.679699657
516,-105.482239375,27.6708043601
517,-105.475612069,27.6698477747
518,-105.473729856,27.6679290963
519,-105.468889525,27.6658534205
520,-105.455217798,27.6671989709
521,-105.450863423,27.6701042847
522,-105.445340694,27.6717290512
523,-105.43699935,27.670367617
524,-105.432655115,27.6682800783
525,-105.425475558,27.668415151
526,-105.421548957,27.6726136954
527,-105.41967149,27.6802454439
528,-105.413992075,27.699233967
529,-105.405001737,27.7104750321
530,-105.404619511,27.7274095522
531,-105.401851778,27.7331049569
532,-105.401806537,27.7387495428
533,-105.399534257,27.7444344281
534,-105.398859158,27.7526942838
535,-105.396212828,27.7560014399
536,-105.389511657,27.7611142404
537,-105.389331853,27.764592587
538,-105.385636194,27.7642283031
539,-105.378753439,27.7584945558
540,-105.370261708,27.7551796313
541,-105.367018979,27.7556757612
542,-105.364809964,27.7600554344
543,-105.356916262,27.7595501818
544,-105.355248128,27.7630526383
545,-105.353219155,27.7639583302
546,-105.350551538,27.7629201843
547,-105.350011683,27.7590261792
548,-105.347996675,27.7549395411
549,-105.3457214,27.7558480003
550,-105.34278303,27.75525047
551,-105.340966995,27.7568031801
552,-105.327013335,27.7585769364
553,-105.31729438,27.7550652969
554,-105.309961849,27.7580158763
555,-105.306737248,27.7628482853
556,-105.303271613,27.7722445612
557,-105.300869289,27.7755448564
558,-105.295931455,27.7799744869
559,-105.291874703,27.7817841028
560,-105.287478235,27.7853343609
561,-105.287339492,27.7879413435
562,-105.29313904,27.7906577269
563,-105.296391405,27.7947244486
564,-105.296377983,27.7997166815
565,-105.300415868,27.8076747148
566,-105.300205602,27.8163596018
567,-105.298310244,27.8194330475
568,-105.299039719,27.8244123715
569,-105.300943581,27.8258955083
570,-105.303648546,27.8262822797
571,-105.303972063,27.8295314502
572,-105.308328773,27.8361817848
573,-105.31235295,27.8350239958
574,-105.314257178,27.8365069436
575,-105.335321878,27.841117784
576,-105.336493415,27.8423990823
577,-105.336127967,27.8493488227
578,-105.341549465,27.854677474
579,-105.343025667,27.8548656445
580,-105.346858812,27.852626294
581,-105.351626467,27.8514542057
582,-105.353330338,27.8520727433
583,-105.352991926,27.8538158965
584,-105.347757458,27.8591214973
585,-105.346642094,27.8615278465
586,-105.346357179,27.8669607895
587,-105.347439436,27.8699799818
588,-105.346457202,27.874554816
589,-105.352419874,27.8790037378
590,-105.356457134,27.877627973
591,-105.357911927,27.878251606
592,-105.359737798,27.8812574767
593,-105.362487469,27.8807718257
594,-105.365860056,27.8826631755
595,-105.366355178,27.8874282981
596,-105.364426788,27.8911549304
597,-105.364018499,27.8942004773
598,-105.365192846,27.8954792521
599,-105.372196408,27.8942666548
600,-105.379580428,27.8952146994
601,-105.383912694,27.8977371206
602,-105.388355222,27.8980902807
603,-105.390282892,27.8991387742
604,-105.391433485,27.9056284017
605,-105.393723214,27.9092756778
606,-105.391740224,27.9140861065
607,-105.395077978,27.9166290412
608,-105.394538278,27.922281667
609,-105.393432702,27.924471687
610,-105.389473557,27.9243317318
611,-105.388197601,27.9250056091
612,-105.386360634,27.9269922619
613,-105.386247668,27.9291658954
614,-105.39243012,27.9342601078
615,-105.397032313,27.9363412407
616,-105.396018044,27.9463463576
617,-105.397202708,27.9474081593
618,-105.400690357,27.9471272353
619,-105.402134112,27.9479670726
620,-105.403691135,27.9514109203
621,-105.40673751,27.9548277865
622,-105.407044871,27.9585099868
623,-105.411907435,27.9603731807
624,-105.414414689,27.9646671215
625,-105.419694274,27.9632654444
626,-105.421364055,27.9645354347
627,-105.422427571,27.9679873366
628,-105.425428541,27.9674973923
629,-105.427628373,27.9681066794
630,-105.428734762,27.9706895287
631,-105.432122823,27.9723625006
632,-105.43760684,27.9718238472
633,-105.439051215,27.9726655443
634,-105.438843016,27.974295615
635,-105.437439827,27.9750831917
636,-105.433423086,27.9808010831
637,-105.426595857,27.9833206975
638,-105.424157676,27.987981747
639,-105.425168292,27.9916368876
640,-105.429032608,27.9943262652
641,-105.432087251,27.9968397921
642,-105.434117378,27.9973727708
643,-105.43412546,27.9989931189
644,-105.433373886,27.9995687138
645,-105.433027628,27.9997706593
646,-105.432739494,27.999963393
647,-105.432715194,28.0000063491
648,-105.432549385,28.0001896705
649,-105.432444482,28.0002644743
650,-105.415095413,28.0121683443
651,-105.408208997,28.0159826272
652,-105.398777186,28.0195602427
653,-105.39265286,28.0236017285
654,-105.380394552,28.0339406963
655,-105.375280641,28.039790806
656,-105.366089225,28.0456268287
657,-105.358667871,28.0550775055
658,-105.347171915,28.0642876371
659,-105.344611515,28.06766346
660,-105.33287366,28.0725828658
661,-105.328780748,28.0768557859
662,-105.327984424,28.0845262196
663,-105.33046207,28.1019177365
664,-105.330139556,28.1179415609
665,-105.330896327,28.1197519177
666,-105.329713956,28.1592457677
667,-105.331202418,28.1694110898
668,-105.33141702,28.1793425091
669,-105.327534806,28.192869739
670,-105.327260776,28.1976095475
671,-105.328241805,28.2070922645
672,-105.330772691,28.2116176926
673,-105.33151473,28.2177158452
674,-105.330227511,28.2204202658
675,-105.326127699,28.2249164821
676,-105.326868886,28.2307889786
677,-105.326094703,28.232817368
678,-105.318665949,28.239783343
679,-105.314063644,28.242472726
680,-105.31557504,28.2467683063
681,-105.315046754,28.2512807149
682,-105.318093484,28.2549024674
683,-105.321657191,28.2567243284
684,-105.324439736,28.2628289462
685,-105.32723483,28.265322724
686,-105.334635583,28.2651265207
687,-105.336665712,28.2678431325
688,-105.337661899,28.2741662424
689,-105.341741095,28.2748601943
690,-105.350897859,28.2830243235
691,-105.354723372,28.2834883512
692,-105.361882195,28.2799039773
693,-105.378716834,28.282902638
694,-105.394570415,28.2739279904
695,-105.399417672,28.2743968402
696,-105.403747189,28.2768958242
697,-105.407801217,28.2854863237
698,-105.409289469,28.2985819942
699,-105.412075971,28.3044613246
700,-105.412059146,28.3101031028
701,-105.409217458,28.319573946
702,-105.409178968,28.3310831566
703,-105.41145177,28.3385391685
704,-105.410666423,28.344406646
705,-105.412191595,28.3466700066
706,-105.418574091,28.3469168579
707,-105.430056415,28.3503406192
708,-105.435671574,28.3510359067
709,-105.442565515,28.3512822544
710,-105.446400648,28.3499405765
711,-105.451775169,28.345443388
712,-105.455364688,28.3407150072
713,-105.473840374,28.3082665451
714,-105.478450586,28.3026381021
715,-105.484069436,28.3017517321
716,-105.499380219,28.3033733032
717,-105.516723629,28.309740283
718,-105.535331934,28.3222021004
719,-105.550123977,28.3299106969
720,-105.563635382,28.3405520914
721,-105.59398795,28.3609316652
722,-105.602914115,28.3690727897
723,-105.609547888,28.3731503599
724,-105.603906501,28.3873583874
725,-105.595461404,28.3965958232
726,-105.589829014,28.4029027723
727,-105.587263319,28.4107985042
728,-105.585457584,28.4207241337
729,-105.57853959,28.4301886331
730,-105.573938851,28.4310814189
731,-105.57010557,28.4306213788
732,-105.561931367,28.4281211772
733,-105.556573562,28.4247221427
734,-105.550441468,28.4238060582
735,-105.541505312,28.420172611
736,-105.536908008,28.4192588269
737,-105.535116602,28.419480258
738,-105.531021448,28.4226307513
739,-105.527698054,28.423298095
740,-105.51415707,28.422135831
741,-105.511597664,28.4237093199
742,-105.510827957,28.4252873414
743,-105.511075691,28.4277709659
744,-105.512859098,28.4304835019
745,-105.511314307,28.4349935507
746,-105.509778806,28.436342005
747,-105.501857525,28.4356448047
748,-105.499805636,28.438572437
749,-105.499800069,28.4410547529
750,-105.501581953,28.4439976143
751,-105.500552039,28.4467003352
752,-105.492372278,28.4471295996
753,-105.489557966,28.448024353
754,-105.488275427,28.449376169
755,-105.488265431,28.4536615464
756,-105.487494944,28.4545647041
757,-105.469589769,28.4588024463
758,-105.468307155,28.4601518197
759,-105.467272746,28.4648897872
760,-105.464183644,28.4716499407
761,-105.463893748,28.4840623728
762,-105.462344018,28.4897001822
763,-105.459782535,28.4912727089
764,-105.455692383,28.4903567512
765,-105.452618655,28.4923799272
766,-105.447761248,28.4921387569
767,-105.440847363,28.4948264267
768,-105.438795288,28.4970761509
769,-105.439042419,28.5002368821
770,-105.443627473,28.5058951403
771,-105.44361966,28.5081495285
772,-105.441055131,28.5108522799
773,-105.435675326,28.5135437278
774,-105.434642702,28.5166995316
775,-105.438206244,28.5221287882
776,-105.442542857,28.5264316341
777,-105.444714232,28.5272278974
778,-105.447135692,28.5296051869
779,-105.44815136,28.5323165431
780,-105.447889401,28.5343460998
781,-105.445070431,28.5363682632
782,-105.446854694,28.5381789753
783,-105.445815706,28.5438193972
784,-105.442486052,28.5444869604
785,-105.439920969,28.54673385
786,-105.433775233,28.5489718678
787,-105.426083403,28.553687712
788,-105.422248233,28.5529978897
789,-105.418917225,28.5545652687
790,-105.415322295,28.5579409171
791,-105.414546234,28.5608701089
792,-105.412754475,28.5608642858
793,-105.409442471,28.5567921124
794,-105.406884091,28.5565560907
795,-105.405084663,28.5590347158
796,-105.40506674,28.5644506283
797,-105.403528329,28.5651254229
798,-105.400214293,28.5617255008
799,-105.398170225,28.5608153294
800,-105.395634153,28.5542605208
801,-105.393336647,28.5526740286
802,-105.389754807,28.5524361309
803,-105.387722568,28.5481408429
804,-105.381839482,28.5478934916
805,-105.375983807,28.540424631
806,-105.373427506,28.5392875777
807,-105.368570182,28.5388179301
808,-105.364995905,28.5365461392
809,-105.360651804,28.5356280159
810,-105.352489372,28.5295046553
811,-105.34405985,28.5263105737
812,-105.328491696,28.5176746197
813,-105.323887625,28.5176540801
814,-105.309578186,28.5142122181
815,-105.289096077,28.5188653931
816,-105.281676976,28.5188335868
817,-105.265575957,28.515828575
818,-105.259691453,28.5162551711
819,-105.254566636,28.5182619966
820,-105.245573767,28.5267973659
821,-105.240184092,28.530383775
822,-105.221465707,28.5388734641
823,-105.208861328,28.55190294
824,-105.19628504,28.5588382868
825,-105.19320023,28.5617605375
826,-105.191630994,28.5678466392
827,-105.182357733,28.5790838858
828,-105.182856883,28.581118691
829,-105.186180022,28.5820371317
830,-105.191263394,28.58860812
831,-105.197378799,28.5938302088
832,-105.208607927,28.599978486
833,-105.208338712,28.6026845847
834,-105.206284623,28.6035790882
835,-105.200907987,28.6040023775
836,-105.194006571,28.6019385953
837,-105.182486002,28.6021057802
838,-105.176371545,28.5971086864
839,-105.174851088,28.5941680202
840,-105.171012283,28.5939224289
841,-105.16846317,28.5923301864
842,-105.166941118,28.5896128372
843,-105.162081994,28.5889101492
844,-105.156992843,28.5836943026
845,-105.154976401,28.5784905806
846,-105.153701332,28.5773569465
847,-105.1483367,28.5757471699
848,-105.148901086,28.5669456894
849,-105.146608258,28.5651293394
850,-105.143792673,28.5653399616
851,-105.136865869,28.568012208
852,-105.130961419,28.5713668771
853,-105.115081814,28.5733106924
854,-105.099434024,28.579091012
855,-105.083575558,28.5776461792
856,-105.07921755,28.5789756929
