"","Corrs"
"(-3,-2]",0.849943336881073
"(-2,-1.5]",0.760444990460611
"(-1.5,-1]",0.864648455620008
"(-1,1]",0.840605314469784
"(1,1.5]",0.756432005103975
"(1.5,2]",0.654542552353742
"(2,3]",0.829595048742103
