"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18"
"Lon",-105.3125,-105.4375,-105.3125,-105.3125,-105.1875,-105.1875,-105.0625,-105.3125,-105.1875,-105.3125,-105.1875,-105.3125,-105.3125,-105.1875,-105.4375,-105.3125,-105.1875,-105.1875
"Lat",27.4375,27.5625,27.5625,27.6875,27.6875,27.8125,27.8125,27.9375,27.9375,28.0625,28.0625,28.1875,28.3125,28.3125,28.4375,28.4375,28.4375,28.5625
"1960-01-31",0.360967741935484,0.328064516129032,0.366451612903226,0.365483870967742,0.36,0.386451612903226,0.41,0.399032258064516,0.4,0.449032258064516,0.445806451612903,0.459677419354839,0.486774193548387,0.490645161290322,0.555806451612903,0.543870967741935,0.523870967741935,0.541935483870968
"1960-02-29",0.273448275862069,0.242758620689655,0.330344827586207,0.43551724137931,0.508965517241379,0.367931034482759,0.266551724137931,0.292758620689655,0.298275862068966,0.218275862068966,0.231724137931034,0.187586206896552,0.152413793103448,0.153448275862069,0.0606896551724138,0.0772413793103448,0.107241379310345,0.0820689655172414
"1960-03-31",0,0,0,0,0,0,0,0,0,0.0129032258064516,0.0167741935483871,0.0125806451612903,0.0393548387096774,0.0467741935483871,0.105806451612903,0.0951612903225807,0.0780645161290323,0.0948387096774193
"1960-04-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1960-05-31",0,0,0,0,0,0,0,0,0,0,0,0.00161290322580645,0.00387096774193548,0.00548387096774194,0.0145161290322581,0.0125806451612903,0.00903225806451613,0.01
"1960-06-30",0.436333333333333,0.475333333333333,0.437333333333333,0.453666666666667,0.473,0.414666666666667,0.370333333333333,0.46,0.445,0.457333333333333,0.469666666666667,0.448333333333333,0.572333333333333,0.545666666666667,0.548333333333333,0.542,0.548,0.544666666666667
"1960-07-31",3.54290322580645,3.73032258064516,3.43677419354839,3.29096774193548,3.20709677419355,3.30129032258065,3.34354838709677,4.63387096774194,4.32645161290323,5.32193548387097,5.18387096774194,5.36967741935484,6.27677419354839,5.66322580645161,4.76677419354839,4.83516129032258,5.09612903225807,4.52645161290323
"1960-08-31",4.5041935483871,4.35064516129032,4.81387096774194,5.36548387096774,5.78967741935484,4.96645161290323,4.46096774193548,4.25354838709677,4.41161290322581,3.46967741935484,3.83516129032258,2.98129032258064,3.26548387096774,3.06,2.77677419354839,2.79354838709677,2.87548387096774,2.70612903225806
"1960-09-30",0.298666666666667,0.174666666666667,0.305333333333333,0.267666666666667,0.23,0.362666666666667,0.499666666666667,0.281333333333333,0.335,0.201,0.25,0.145666666666667,0.149666666666667,0.175333333333333,0.196666666666667,0.201,0.212,0.264
"1960-10-31",0.599032258064516,0.426451612903226,0.684516129032258,0.787741935483871,0.851935483870968,0.793225806451613,0.800645161290322,0.549677419354839,0.630322580645161,0.329032258064516,0.428709677419355,0.193548387096774,0.149032258064516,0.149677419354839,0.0696774193548387,0.0929032258064516,0.134838709677419,0.158387096774194
"1960-11-30",0.515666666666667,0.503666666666667,0.483,0.416666666666667,0.359666666666667,0.485666666666667,0.563333333333333,0.787666666666667,0.717333333333333,1.01366666666667,0.926,1.13733333333333,1.207,1.16966666666667,1.28033333333333,1.23533333333333,1.14933333333333,1.04166666666667
"1960-12-31",0.468064516129032,0.424193548387097,0.495483870967742,0.535806451612903,0.559354838709677,0.529354838709677,0.510967741935484,0.524193548387097,0.522903225806452,0.519032258064516,0.517096774193548,0.548064516129032,0.578387096774193,0.616451612903226,0.756774193548387,0.73258064516129,0.689677419354839,0.729032258064516
"1961-01-31",1.17483870967742,1.24774193548387,1.14612903225806,1.11193548387097,1.16774193548387,1.16290322580645,1.24225806451613,0.995161290322581,1.19677419354839,0.807096774193549,0.803225806451613,0.871290322580645,0.863548387096774,0.835806451612903,0.902903225806452,0.87258064516129,0.910967741935484,0.933225806451613
"1961-02-28",0.05,0.0296428571428571,0.0585714285714286,0.0671428571428571,0.0714285714285714,0.0832142857142857,0.101071428571429,0.0960714285714286,0.0910714285714286,0.108571428571429,0.111428571428571,0.128928571428571,0.136785714285714,0.114642857142857,0.0621428571428571,0.0671428571428571,0.0857142857142857,0.0492857142857143
"1961-03-31",0,0,0,0,0,0.0429032258064516,0.10741935483871,0,0.0712903225806452,0.00290322580645161,0.0032258064516129,0.0032258064516129,0.00516129032258065,0.00419354838709677,0.00258064516129032,0.0032258064516129,0.00354838709677419,0.00225806451612903
"1961-04-30",0.125666666666667,0.129333333333333,0.122,0.115,0.133333333333333,0.129,0.145666666666667,0.0833333333333333,0.135666666666667,0.043,0.0413333333333333,0.0296666666666667,0.0233333333333333,0.025,0.0106666666666667,0.014,0.0173333333333333,0.00733333333333333
"1961-05-31",0.105161290322581,0.0603225806451613,0.119032258064516,0.129677419354839,0.135483870967742,0.233548387096774,0.377096774193548,0.0819354838709677,0.296129032258065,0.0412903225806452,0.0429032258064516,0.0554838709677419,0.0758064516129032,0.087741935483871,0.237741935483871,0.196451612903226,0.164193548387097,0.252258064516129
"1961-06-30",1.827,1.946,1.77933333333333,1.72033333333333,1.89333333333333,2.26933333333333,3.07266666666667,1.74633333333333,2.61933333333333,1.954,1.95733333333333,1.83133333333333,1.884,1.83633333333333,1.86833333333333,1.836,1.89233333333333,2.225
"1961-07-31",3.13129032258064,2.35548387096774,3.44935483870968,3.72,4.41935483870968,3.64193548387097,3.12290322580645,3.05,3.40032258064516,1.66612903225806,1.65677419354839,1.93322580645161,1.89903225806452,1.78838709677419,1.92903225806452,1.84806451612903,1.9141935483871,1.78516129032258
"1961-08-31",1.91967741935484,2.09806451612903,1.81967741935484,1.64838709677419,2.30322580645161,1.71193548387097,1.65838709677419,1.67612903225806,1.67,1.63645161290323,1.66741935483871,1.67129032258065,1.73645161290323,1.73096774193548,1.40709677419355,1.51838709677419,1.51387096774194,1.79064516129032
"1961-09-30",1.75733333333333,1.60366666666667,1.842,1.934,2.05333333333333,1.82566666666667,1.58866666666667,1.363,1.72166666666667,0.554,0.554666666666667,0.639333333333333,0.659666666666667,0.677666666666667,0.916,0.852666666666667,0.851,0.761333333333333
"1961-10-31",1.12096774193548,0.941612903225806,1.23451612903226,1.39645161290323,1.17741935483871,1.21193548387097,0.951612903225806,1.07967741935484,1.10741935483871,0.580967741935484,0.580645161290323,0.592903225806452,0.547096774193548,0.709032258064516,0.625161290322581,0.726129032258064,0.694516129032258,0.527096774193549
"1961-11-30",0.068,0.06,0.0553333333333333,0.0363333333333333,0.0203333333333333,0.0573333333333333,0.100333333333333,0.0653333333333333,0.0676666666666667,0.0716666666666667,0.07,0.0713333333333333,0.0866666666666667,0.0583333333333333,0.120666666666667,0.087,0.091,0.181333333333333
"1961-12-31",0.00548387096774194,0.00419354838709677,0.00354838709677419,0.00161290322580645,0,0.00354838709677419,0.00903225806451613,0,0.00580645161290323,0.0138709677419355,0.0167741935483871,0.02,0.0316129032258064,0.0251612903225806,0.0254838709677419,0.0238709677419355,0.0296774193548387,0.0180645161290323
"1962-01-31",0.0670967741935484,0.0525806451612903,0.07,0.0609677419354839,0.17741935483871,0.0925806451612903,0.0990322580645161,0.0725806451612903,0.092258064516129,0.0651612903225806,0.0651612903225806,0.0654838709677419,0.0641935483870968,0.0738709677419355,0.0958064516129032,0.0967741935483871,0.087741935483871,0.0896774193548387
"1962-02-28",0,0,0,0,0,0.0196428571428571,0.0496428571428571,0,0.0328571428571429,0.00357142857142857,0.00357142857142857,0.01,0.0135714285714286,0.035,0.106428571428571,0.0935714285714286,0.0782142857142857,0.0957142857142857
"1962-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603225806451613,0.0441935483870968,0,0.037741935483871
"1962-04-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1962-05-31",0.0290322580645161,0.0567741935483871,0.0174193548387097,0.00580645161290323,0,0.00354838709677419,0.00903225806451613,0,0.00580645161290323,0,0,0,0,0,0,0,0,0
"1962-06-30",0.0646666666666667,0.0536666666666667,0.0513333333333333,0.0313333333333333,0.0433333333333333,0.0513333333333333,0.0853333333333333,0.0113333333333333,0.0653333333333333,0.00566666666666667,0.007,0.00866666666666667,0.014,0.022,0.0423333333333333,0.0396666666666667,0.0346666666666667,0.0733333333333333
"1962-07-31",4.18838709677419,3.99516129032258,4.21645161290323,4.19741935483871,4.30322580645161,4.12903225806452,3.95322580645161,3.62870967741936,4.0441935483871,3.07774193548387,3.09193548387097,3.05516129032258,3.11774193548387,3.06677419354839,2.93193548387097,2.95129032258065,3.04645161290323,3.97129032258064
"1962-08-31",1.03548387096774,0.859354838709677,1.14612903225806,1.31,1.03870967741935,1.13774193548387,0.913548387096774,1.25290322580645,1.05032258064516,0.885806451612903,0.870322580645161,0.881290322580645,0.836451612903226,0.935806451612903,0.89258064516129,0.880322580645161,0.809677419354839,0.77741935483871
"1962-09-30",2.24466666666667,2.166,2.284,2.29466666666667,2.73666666666667,2.46833333333333,2.57766666666667,2.21766666666667,2.507,1.81933333333333,1.80866666666667,2.07466666666667,2.14233333333333,2.037,2.80866666666667,2.49333333333333,2.459,4.07
"1962-10-31",1.98290322580645,2.30838709677419,1.86870967741935,1.78096774193548,1.60322580645161,1.67483870967742,1.64935483870968,1.89451612903226,1.66903225806452,2.08935483870968,2.09677419354839,2.08193548387097,2.09354838709677,1.93322580645161,1.43,1.50709677419355,1.67193548387097,1.23064516129032
"1962-11-30",0.118666666666667,0.055,0.107,0.069,0.0333333333333333,0.109333333333333,0.167,0.0363333333333333,0.131333333333333,0.442333333333333,0.524333333333333,0.509666666666667,0.803666666666667,0.690333333333333,0.499666666666667,0.546666666666667,0.61,0.403
"1962-12-31",0.200322580645161,0.168064516129032,0.230645161290323,0.25258064516129,0.538709677419355,0.355483870967742,0.416451612903226,0.307096774193548,0.37741935483871,0.255483870967742,0.255161290322581,0.266451612903226,0.268064516129032,0.266451612903226,0.262903225806452,0.262258064516129,0.271935483870968,0.451612903225806
"1963-01-31",0.0645161290322581,0.0303225806451613,0.0593548387096774,0.0390322580645161,0.0483870967741935,0.0754838709677419,0.121290322580645,0.02,0.0935483870967742,0.0116129032258065,0.0112903225806452,0.0287096774193548,0.0290322580645161,0.0267741935483871,0.0674193548387097,0.0564516129032258,0.0545161290322581,0.0583870967741935
"1963-02-28",0.165,0.128928571428571,0.186071428571429,0.195,0.428571428571429,0.247142857142857,0.246785714285714,0.143214285714286,0.242142857142857,0,0,0.005,0.00678571428571429,0.0285714285714286,0.08,0.0735714285714286,0.0603571428571429,0.0625
"1963-03-31",0.0603225806451613,0.0480645161290323,0.0432258064516129,0.0267741935483871,0,0.0416129032258064,0.0925806451612903,0.0335483870967742,0.0645161290322581,0.0406451612903226,0.0387096774193548,0.0432258064516129,0.0316129032258064,0.0361290322580645,0.0067741935483871,0.0161290322580645,0.0187096774193548,0.00580645161290323
"1963-04-30",0.345333333333333,0.219666666666667,0.392,0.453,0.233333333333333,0.469,0.528333333333333,0.371666666666667,0.5,0.354333333333333,0.362,0.481333333333333,0.553666666666667,0.342333333333333,0.563,0.414666666666667,0.447,0.348666666666667
