"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"1961-08-31",34.3699999999998,43.78,52.0399999999998,47.9999999999999,43.0600000000001,45.18,49.3299999999998,57.9999999999999,50.4699999999999,45.73,52,54.6000000000002,59.1499999999999,63.63,49.59,48.8700000000001,55.49,57.2400000000001,59.1100000000001,50.4799999999999,50.2700000000001,57.5299999999999,51.0899999999999,51.0199999999999,51.24,45.3900000000001,45.64
"1961-09-30",84.1899999999999,72.9999999999999,52.3899999999999,58.44,64.2399999999999,69.6399999999999,66.1400000000001,59.04,56.2100000000001,56.8599999999999,59.91,57.39,52.29,46.8200000000001,47.79,50.3900000000001,52.9100000000001,50.07,45.4299999999999,43.86,45.54,48.4100000000001,42.2499999999999,42.4100000000001,41.4800000000001,43.05,42.3
"1961-10-31",22.96,19.47,16.19,17.34,19.09,19.37,18.87,15.92,15.18,18.76,17.39,17.92,18.32,19.58,12.92,16.24,16.04,17.44,19.58,12.05,16.23,16.34,16.5,16.84,18.16,16.58,17.24
"1961-11-30",14.49,13.41,9.36,8.7,9.66,10.3,9.62000000000001,10.91,6.81999999999999,4.61000000000001,4.38,5.09000000000001,6.18999999999999,6.27999999999999,4.32,1.26,0.710000000000001,2.27,3.81,4.17999999999999,1.39,1.1,4.71999999999999,3.15999999999999,2.03,5.90000000000001,4.47
"1961-12-31",0,1.2,0,0.04,0.02,0,0,3.74000000000001,0,0,0,0,2.65,3.93,0,0,0,0,1.78,0,0,0,0,0,0,0,0
"1962-01-31",2.89,2.58,1.96,1.9,2,2.1,2.02,2.22,1.4,1.04,0.94,1.98,3.14999999999999,4.44999999999999,0.860000000000001,0.27,0.2,1.35,3.14999999999999,0.589999999999999,0.63,0.579999999999999,0.62,1.43,1.66,1.61,2.21
"1962-02-28",3.67999999999999,3.11999999999999,1.68,1.63,1.6,2.03,2.3,2.23,1.39,1.27,1.31,1.89,2.45,3.07,1.04,0.7,0.640000000000001,1.34,2.31,0.870000000000001,0.89,0.86,0.879999999999999,1.33,1.45,1.01,1.77
"1962-03-31",0,0,1.14,0.479999999999999,0.15,0,0,0,0.450000000000001,0.19,0.11,0,0,0,0.3,0.0699999999999999,0.02,0,0,0.24,0.0899999999999999,0,0.25,0.17,0,0.24,0.23
"1962-04-30",0,0,0,0,0,0,0,0,0,0,0,0.849999999999999,1.84,3.36999999999999,0,0,0,0.849999999999999,2.4,0,0,0.380000000000001,0,0,1.2,0,1.55
"1962-05-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1962-06-30",4.91000000000001,4.70000000000001,3.84,3.14000000000001,3.78,4.01000000000001,3.78999999999999,3.74000000000001,3.27,2.21,2.1,2.38,12.64,20.96,2.4,0.789999999999999,0.25,5.79,14.98,1.99,0.909999999999999,0.489999999999999,2.13,1.55,7.46000000000001,2.06,10.13
"1962-07-31",80.5800000000001,90.9700000000001,115.05,108.05,78.7800000000001,71.0099999999999,67.4700000000001,74.5099999999999,81.77,57.4800000000001,45.73,48.04,53.0399999999999,62.7899999999999,49.0400000000001,19.13,9.25000000000001,25.91,46.27,38.04,20.15,14.88,39.8499999999999,31.1099999999999,33.6100000000001,67.2,45.6699999999999
"1962-08-31",25.74,24.63,13.97,15.49,22.52,23.07,21.23,19.6,14.22,13.08,12.19,13.55,15.53,16.09,9.4,3.64000000000001,1.48,7.03999999999999,11.74,7.54999999999999,3.92000000000001,2.88,8.26000000000001,6.58,6.17,6.99,8.44999999999999
"1962-09-30",127.34,134.88,133.28,129.86,116.8,111.47,105.28,110.1,104,80.13,68.0499999999999,72.8199999999999,79.1600000000001,87.2900000000001,65.6300000000001,27.86,14.91,39.5799999999999,65.0900000000001,52.2500000000001,29.3,22.61,55.2500000000001,44.1999999999999,44.0600000000001,62.8599999999999,58.83
"1962-10-31",14.58,16.04,24.23,23.15,18.27,17.32,18.05,19.35,23.22,23.29,23.48,22.57,25.72,29.2,25.34,28.11,29.24,28.12,29.32,26.2,27.98,28.49,25.76,26.59,29.93,32.78,29.6
"1962-11-30",4.01000000000001,3.98000000000001,7.94000000000001,7.34000000000001,4.8,4.10000000000001,3.86000000000001,2.81,5.43,3.68000000000001,2.84,2.91,4.17,5.72000000000001,3.26000000000001,1.34,0.740000000000001,2.12,4.20999999999999,2.54,1.41,1.07,2.63,2.07,2.98,2.39,3.93999999999999
"1962-12-31",13.39,14.41,11.83,11.77,11.7,11.47,10.91,12.31,9.89999999999999,8.16,7.26000000000001,7.75,8.23999999999999,8.68999999999999,6.77000000000001,3.52999999999999,2.41,4.64000000000001,6.75999999999999,5.64000000000001,3.65999999999999,3.09,5.92999999999999,4.98000000000001,4.77000000000002,7.20999999999999,5.98000000000001
"1963-01-31",1.94,1.82,0.16,0.369999999999999,1.31,1.51,1.43,1.49,0.53,0.679999999999999,0.73,0.850000000000001,0.889999999999999,0.750000000000001,0.42,0.19,0.0899999999999999,0.4,0.550000000000001,0.369999999999999,0.2,0.16,0.42,0.350000000000001,0.18,1.48,0.24
"1963-02-28",3.81000000000001,3.35,0.319999999999999,0.739999999999999,2.62,3.02,2.88,2.61,1.08,1.4,1.51,1.76,2.23,2.28,0.89,0.459999999999999,0.26,1.06,1.68,0.79,0.49,0.409999999999999,0.500000000000001,0.44,0.3,0.04,0.26
"1963-03-31",0.950000000000001,0.84,0.0599999999999999,0.17,0.650000000000001,0.750000000000001,0.71,0.650000000000001,0.15,0.340000000000001,0.360000000000001,0.43,0.450000000000001,0.379999999999999,0.11,0.05,0.04,0.2,0.28,0.0999999999999999,0.0599999999999999,0.0799999999999999,1.11,0.950000000000001,0.82,2.24,2.08
"1963-04-30",18.45,16.29,1.39,3.53000000000001,12.91,14.78,12.3,10.15,3.27,4.38999999999999,6.3,4.77,4.67000000000001,9.54999999999999,0.3,1.35,0.78,1.34,2.92,0.25,0.339999999999999,0.429999999999999,0.13,0.27,0.399999999999999,0.06,0.19
"1963-05-31",2.45,5.55,5.13999999999999,3.50000000000001,7.39000000000001,8.17999999999999,14.65,17.77,11.32,19.2,23.54,25.99,26.19,27.23,17.09,27.9,30.15,31.32,31.16,16.97,25.08,28.23,8.03,16.68,24.65,5.78000000000001,14.88
"1963-06-30",11.24,14.21,4.95999999999999,4.74,9.56000000000001,13.33,16.36,20.99,10.43,17.19,20.55,21.45,22.01,20.9,17.71,25.45,27.35,23.29,22.88,19.77,24.39,25.79,16.66,20.11,24.95,17.1,21.77
