"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"Lon",-105.0625,-104.9375,-105.4375,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-104.6875,-105.3125,-105.1875,-105.0625,-104.9375,-104.8125,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875,-105.0625,-105.3125,-105.1875
"Lat",29.0625,29.0625,29.1875,29.1875,29.1875,29.1875,29.1875,29.1875,29.3125,29.3125,29.3125,29.3125,29.3125,29.3125,29.4375,29.4375,29.4375,29.4375,29.4375,29.5625,29.5625,29.5625,29.6875,29.6875,29.6875,29.8125,29.8125
"1961-01-31",-0.000925666799329282,-0.0531708471752698,0.157257547072655,0.210976129650654,0.0514626084388055,-0.0531708471752698,-0.263599241423194,-0.865388648675183,0.0514626084388055,-0.10541602755121,-0.0531708471752698,-0.10541602755121,-0.865388648675183,-1.20352022755128,0.210976129650654,-0.10541602755121,-0.10541602755121,-0.263599241423194,-0.940317406194146,0.157257547072655,-0.000925666799329282,-0.0531708471752698,-0.0531708471752698,-0.000925666799329282,-0.0531708471752698,-0.0531708471752698,-0.157804302789345
"1961-02-28",-0.000925666799329282,-0.0531708471752698,0.265468516789105,0.265468516789105,0.0514626084388055,-0.0531708471752698,-0.21048153178544,-0.865388648675183,0.0514626084388055,-0.000925666799329282,0.0514626084388055,-0.0531708471752698,-0.663465457361603,-1.20352022755128,0.157257547072655,0.0514626084388055,-0.000925666799329282,-0.157804302789345,-0.727660597371351,0.210976129650654,0.104139837434901,0.0514626084388055,0.0514626084388055,0.0514626084388055,-0.0531708471752698,-0.000925666799329282,-0.157804302789345
"1961-03-31",-0.10541602755121,-0.10541602755121,0.210976129650654,0.210976129650654,-0.0531708471752698,-0.157804302789345,-0.21048153178544,-0.865388648675183,0.0514626084388055,-0.000925666799329282,0.0514626084388055,-0.0531708471752698,-0.794764891036786,-1.20352022755128,0.157257547072655,0.0514626084388055,0.0514626084388055,-0.21048153178544,-0.794764891036786,0.265468516789105,0.104139837434901,0.0514626084388055,0.0514626084388055,0.104139837434901,-0.000925666799329282,0.0514626084388055,-0.10541602755121
"1961-04-30",-0.000925666799329282,-0.157804302789345,0.265468516789105,0.157257547072655,-0.0531708471752698,-0.0531708471752698,-0.21048153178544,-0.794764891036786,0.157257547072655,-0.000925666799329282,-0.0531708471752698,-0.0531708471752698,-0.865388648675183,-1.20352022755128,0.104139837434901,0.104139837434901,0.0514626084388055,-0.21048153178544,-0.865388648675183,0.210976129650654,0.104139837434901,0.0514626084388055,0.0514626084388055,0.0514626084388055,-0.0531708471752698,0.0514626084388055,-0.10541602755121
"1961-05-31",0.0514626084388055,-0.10541602755121,0.320924563022454,0.265468516789105,-0.000925666799329282,-0.000925666799329282,-0.10541602755121,-0.663465457361603,0.210976129650654,0.104139837434901,0.0514626084388055,0.0514626084388055,-0.483898146470727,-1.10764329894532,0.210976129650654,0.210976129650654,0.157257547072655,0.0514626084388055,-0.317317824001193,0.265468516789105,0.265468516789105,0.157257547072655,0.104139837434901,0.157257547072655,-0.000925666799329282,0.104139837434901,-0.000925666799329282
"1961-06-30",0.210976129650654,0.157257547072655,0.621318903020812,0.495351435522828,0.377556452120188,0.210976129650654,0.0514626084388055,-0.0531708471752698,0.688423196686247,0.4356055639394,0.4356055639394,0.320924563022454,0.210976129650654,-0.371810211139645,0.759046954324643,0.621318903020812,0.557123763011063,0.265468516789105,0.104139837434901,0.759046954324643,0.621318903020812,0.495351435522828,0.621318903020812,0.621318903020812,0.495351435522828,0.377556452120188,0.265468516789105
"1961-07-31",-0.427266257372993,-0.427266257372993,-0.0531708471752698,-0.10541602755121,-0.21048153178544,-0.263599241423194,-0.371810211139645,-0.601693129873368,0.0514626084388055,-0.0531708471752698,-0.10541602755121,-0.000925666799329282,-0.263599241423194,-0.727660597371351,0.104139837434901,0.157257547072655,-0.000925666799329282,-0.157804302789345,-0.371810211139645,0.157257547072655,0.157257547072655,0.0514626084388055,0.157257547072655,0.0514626084388055,-0.000925666799329282,-0.10541602755121,-0.21048153178544
"1961-08-31",-1.10764329894532,-0.865388648675183,-0.427266257372993,-0.483898146470727,-0.601693129873368,-0.663465457361603,-0.541947258289939,-0.541947258289939,-0.21048153178544,-0.371810211139645,-0.21048153178544,-0.21048153178544,-0.371810211139645,-0.483898146470727,-0.0531708471752698,-0.157804302789345,-0.21048153178544,-0.157804302789345,-0.21048153178544,0.0514626084388055,-0.0531708471752698,-0.000925666799329282,-0.000925666799329282,0.0514626084388055,-0.000925666799329282,-0.371810211139645,-0.263599241423194
"1961-09-30",-0.371810211139645,-0.371810211139645,-0.000925666799329282,0.0514626084388055,-0.157804302789345,-0.21048153178544,-0.157804302789345,-0.317317824001193,0.210976129650654,0.157257547072655,0.210976129650654,0.104139837434901,-0.0531708471752698,-0.317317824001193,0.320924563022454,0.320924563022454,0.320924563022454,0.210976129650654,0.0514626084388055,0.377556452120188,0.377556452120188,0.377556452120188,0.377556452120188,0.377556452120188,0.377556452120188,0.104139837434901,-0.000925666799329282
"1961-10-31",-0.21048153178544,-0.10541602755121,0.0514626084388055,0.0514626084388055,-0.0531708471752698,-0.10541602755121,-0.0531708471752698,-0.10541602755121,0.210976129650654,0.104139837434901,0.210976129650654,0.104139837434901,0.157257547072655,-0.263599241423194,0.265468516789105,0.265468516789105,0.265468516789105,0.320924563022454,0.265468516789105,0.377556452120188,0.377556452120188,0.320924563022454,0.377556452120188,0.320924563022454,0.265468516789105,0.104139837434901,0.0514626084388055
"1961-11-30",-0.317317824001193,-0.21048153178544,-0.000925666799329282,-0.000925666799329282,-0.21048153178544,-0.10541602755121,-0.157804302789345,-0.427266257372993,-0.000925666799329282,-0.10541602755121,-0.0531708471752698,0.0514626084388055,-0.10541602755121,-0.541947258289939,-0.000925666799329282,0.104139837434901,0.104139837434901,0.157257547072655,0.0514626084388055,0.157257547072655,0.157257547072655,0.157257547072655,0.265468516789105,0.265468516789105,0.104139837434901,-0.000925666799329282,-0.0531708471752698
"1961-12-31",-0.483898146470727,-0.427266257372993,-0.317317824001193,-0.371810211139645,-0.317317824001193,-0.317317824001193,-0.371810211139645,-0.663465457361603,-0.21048153178544,-0.21048153178544,-0.21048153178544,-0.000925666799329282,-0.263599241423194,-0.663465457361603,-0.157804302789345,-0.157804302789345,-0.157804302789345,-0.10541602755121,-0.000925666799329282,-0.10541602755121,-0.0531708471752698,-0.0531708471752698,-0.000925666799329282,-0.0531708471752698,-0.0531708471752698,-0.263599241423194,-0.371810211139645
"1962-01-31",-0.663465457361603,-0.663465457361603,-0.483898146470727,-0.427266257372993,-0.601693129873368,-0.371810211139645,-0.541947258289939,-0.794764891036786,-0.317317824001193,-0.317317824001193,-0.263599241423194,-0.21048153178544,-0.541947258289939,-0.727660597371351,-0.317317824001193,-0.263599241423194,-0.21048153178544,-0.21048153178544,-0.371810211139645,-0.21048153178544,-0.157804302789345,-0.10541602755121,-0.263599241423194,-0.157804302789345,-0.21048153178544,-0.663465457361603,-0.727660597371351
