year, month, day, prcp, tmax, tmin, tmax-tmin
1968, 11, 26, 1, 12, 12, 0
1970, 9, 26, 21, 12, 12, 0
1970, 9, 27, 28, 7, 7, 0
1973, 2, 8, 8, 8, 8, 0
1976, 12, 11, 0, 3, 3, 0
1980, 11, 16, 10, 0.5, 0.5, 0
