year, month, day, prcp, tmax, tmin, tmax-tmin
1961, 1, 19, 6, 9, 9, 0
1985, 1, 12, 17.5, 7, 7, 0
1997, 11, 8, 0, 8, 8, 0
2007, 8, 31, 15, 15, 15, 0
