year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1968,9,12,16.03,16,42.91,4.4,10,23.43,-0.26,6,31.49
1981,3,23,6.2,6,46.98,-11.32,3,19.98,-2.21,3,46.54
