year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1945,5,25,21.62,46,47.07,3.96,10,27.99,1.95,36,34.79
1945,5,28,22.72,46.5,47.59,4.37,9.5,28.78,0.59,37,36.56
1945,5,29,23.43,44.5,46.66,4.12,8,28.6,2.15,36.5,35.22
1945,5,30,23.57,45,47.28,4.56,8.5,27.48,2.74,36.5,36.08
1945,6,7,23.91,44,48.58,4.33,8,30.97,2.66,36,34.53
1945,6,8,26,44,47.43,5.56,8.5,29.7,3.77,35.5,34.4
1945,6,9,26.48,42.5,46.54,3.31,4,32.44,1.65,38.5,35.62
1945,6,14,21.47,46,50.92,7.16,9.5,30.75,-1.4,36.5,35.89
1945,6,15,22.29,46.5,50.61,7.08,9,30.96,-0.91,37.5,35.76
1945,6,16,21.95,45,51.83,7.56,8,30.41,-1.02,37,36.82
1945,6,17,22.95,46,50.79,7.41,7,31.18,-2.07,39,37.23
1945,6,21,21.33,43,50.66,8.06,10,30.14,1.07,33,32.72
1945,6,22,23.06,42,49.11,6.33,8.5,31.74,1.95,33.5,32.15
1945,6,24,19.58,44.5,50.57,8.47,9.5,30.38,-2.3,35,33.59
1945,6,25,20.29,45,50.89,6.17,8,31.74,-1.55,37,34.82
1945,6,26,21.78,45,49.99,5.44,6.5,33.33,-2.11,38.5,35.1
1945,6,27,20.52,46.5,50.6,5.61,6.5,33.16,-4.24,40,36.6
1945,6,28,20.46,45,50.75,6.32,5,32.29,-3.71,40,36.31
1945,7,1,21.96,39,47.09,5.4,6,32.08,0.23,33,31.34
1945,7,5,24.48,38.5,44.48,8.28,8,29.82,2.5,30.5,28.37
1945,7,7,21.5,33,46.4,8.06,8,29.42,1.58,25,28.84
1945,7,10,23.42,39,45.64,8.03,8.5,30.01,0.76,30.5,30.25
1945,7,11,23.3,33,45.72,7.04,7,31.08,-0.17,26,31.08
1948,10,17,13.58,12.2,42.4,-3.12,11.7,24.04,-2.12,0.5,37.18
1957,10,26,12.47,11,42.07,-3.21,3,20.48,1.45,8,35.83
1961,6,16,21.95,20,51.83,7.56,17,30.41,-1.02,3,36.82
1962,1,10,-4.34,-5,40.23,-13.79,-8,15.79,-4.74,3,38.63
1968,3,21,7.61,6.5,44.73,-6.9,0,20.1,1.79,6.5,37.34
1973,5,15,21.55,20,45.27,1.08,13,27.9,1.11,7,36.74
1979,6,10,22.35,21.5,49.45,6.05,17,30.18,0.79,4.5,34.79
1986,3,19,10.71,10,41.71,-7.18,5,20.16,1.4,5,38.04
