year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1945,5,4,13.1,45.6,49.06,-0.7,9.7,29.15,-2.03,35.9,35.73
1945,5,12,18.93,46.9,46.65,5.19,19.2,27.37,2.46,27.7,30.56
1945,5,24,21.89,42.8,47.28,6.67,11.7,29.29,2.39,31.1,30.83
1945,8,16,17.46,36.8,45.64,9.63,28.6,28.28,0.68,8.2,24.51
1946,9,4,16.72,31.6,43.36,8.05,28.9,28.21,-0.81,2.7,24.63
1959,4,12,11.85,9,45.4,-2.48,8,25.45,-0.5,1,34.78
1961,6,16,20.34,20,50.1,8.84,16,30.73,0.98,4,29.89
1961,11,6,4.54,3,42.94,-6.99,2,19.9,-1.29,1,35.62
1970,9,27,8.71,7,48.32,1.75,5,28.52,-4.32,2,31.09
1972,5,28,19.18,19,48.74,8.31,16,27.69,0.45,3,31.47
1975,9,23,11.61,22,45.33,6.47,6,26.5,-5.21,16,29.19
1979,6,10,20.24,20.1,49.61,8.4,19.5,30.81,-0.15,0.6,30.78
1983,4,7,9.61,9,46.98,-2.55,3,24.28,-1.55,6,36.41
1986,6,23,22.63,23,47.15,10.49,19,29.93,4.04,4,25.32
1989,6,14,22.25,25,47.56,10.09,24,29.77,2.69,1,27.25
1990,8,12,18.21,20,45.33,10.12,19.5,28.49,0.64,0.5,24.29
1991,9,20,14.37,14,45.57,5.89,12,27.38,-2.01,2,28.68
1994,9,1,16.03,37,45.44,8.62,9,27.54,-2.24,28,27.55
1997,4,26,16.01,16,44.41,0.23,4.5,27.77,1.86,11.5,30.56
2000,10,9,9.35,8,46.1,-3.49,3,29.34,-7.27,5,36.87
2000,10,10,13.89,9,43,-0.65,3,26.11,0.08,6,31.36
2011,2,5,-3.87,-5,44.69,-14.4,-14,21.86,-6.26,9,39.62
