year, month, day, prcp, tmax, tmin, tmax-tmin
1990, 9, 2, 2, 20, 20, 0
1994, 12, 27, 10.5, 7, 7, 0
1996, 11, 2, 0, 12, 12, 0
2007, 8, 31, 0, 19, 19, 0
